Category: All categories,,,,,
,,,,,
Month,coral: (Worldwide),reef: (Worldwide),coral reef: (Worldwide),reef scuba diving: (Worldwide),great barrier reef: (Worldwide)
2004-01,91,70,10,<1,8
2004-02,98,83,11,<1,12
2004-03,99,82,12,<1,15
2004-04,98,75,11,<1,11
2004-05,96,75,12,<1,14
2004-06,88,68,8,<1,11
2004-07,86,61,7,<1,7
2004-08,90,66,7,<1,10
2004-09,83,60,9,<1,8
2004-10,81,61,10,<1,10
2004-11,80,55,9,<1,10
2004-12,77,52,8,<1,6
2005-01,86,64,9,<1,6
2005-02,88,78,10,<1,9
2005-03,95,71,9,<1,10
2005-04,95,69,9,<1,9
2005-05,95,73,10,<1,11
2005-06,88,67,7,<1,8
2005-07,84,64,6,<1,6
2005-08,85,65,7,<1,8
2005-09,79,53,7,<1,7
2005-10,84,54,8,<1,7
2005-11,79,52,8,<1,7
2005-12,72,47,6,<1,4
2006-01,84,56,8,<1,5
2006-02,85,60,8,<1,7
2006-03,90,60,8,<1,8
2006-04,89,58,7,<1,6
2006-05,87,60,8,<1,8
2006-06,80,59,6,<1,6
2006-07,79,62,5,<1,4
2006-08,81,57,6,<1,5
2006-09,74,50,6,<1,7
2006-10,77,46,7,<1,6
2006-11,76,46,7,<1,6
2006-12,73,42,5,<1,4
2007-01,79,51,7,<1,4
2007-02,81,54,6,<1,5
2007-03,86,53,7,<1,6
2007-04,86,53,7,<1,5
2007-05,86,55,7,<1,7
2007-06,79,53,5,<1,5
2007-07,80,51,5,<1,3
2007-08,82,48,5,<1,5
2007-09,79,44,5,<1,5
2007-10,78,45,7,<1,5
2007-11,73,43,6,<1,5
2007-12,74,40,5,<1,3
2008-01,81,47,6,<1,4
2008-02,82,46,6,<1,4
2008-03,89,46,6,<1,5
2008-04,89,47,6,<1,4
2008-05,86,50,6,<1,6
2008-06,80,47,5,<1,4
2008-07,80,47,5,<1,3
2008-08,78,43,5,<1,3
2008-09,75,39,5,<1,4
2008-10,73,39,6,<1,4
2008-11,70,38,5,<1,4
2008-12,69,37,4,<1,3
2009-01,77,53,5,<1,6
2009-02,78,44,6,<1,5
2009-03,85,46,6,<1,6
2009-04,84,44,6,<1,4
2009-05,82,47,6,<1,6
2009-06,76,44,5,<1,4
2009-07,77,44,5,<1,3
2009-08,81,43,5,<1,4
2009-09,76,38,5,<1,4
2009-10,73,37,5,<1,4
2009-11,71,37,5,<1,4
2009-12,67,34,4,<1,2
2010-01,77,40,5,<1,3
2010-02,78,40,5,<1,4
2010-03,81,41,5,<1,5
2010-04,81,46,6,<1,7
2010-05,80,41,6,<1,5
2010-06,76,41,4,<1,4
2010-07,78,40,4,<1,3
2010-08,76,41,5,<1,3
2010-09,72,35,4,<1,4
2010-10,72,34,5,<1,4
2010-11,77,37,4,<1,4
2010-12,72,34,3,<1,2
2011-01,80,39,4,<1,3
2011-02,79,39,5,<1,3
2011-03,80,39,5,<1,4
2011-04,86,38,5,<1,3
2011-05,82,38,5,<1,4
2011-06,83,41,4,<1,3
2011-07,82,39,4,<1,2
2011-08,83,38,4,<1,3
2011-09,77,34,4,<1,3
2011-10,73,34,4,<1,3
2011-11,75,34,4,<1,4
2011-12,72,33,4,<1,2
2012-01,79,38,5,<1,4
2012-02,79,37,5,<1,3
2012-03,83,37,5,<1,4
2012-04,85,37,5,<1,3
2012-05,81,37,5,<1,4
2012-06,83,36,4,<1,3
2012-07,82,38,4,<1,2
2012-08,80,36,4,<1,3
2012-09,77,36,4,<1,5
2012-10,75,32,4,<1,4
2012-11,72,32,4,<1,3
2012-12,71,31,3,<1,3
2013-01,77,37,4,<1,3
2013-02,79,38,5,<1,3
2013-03,89,38,5,<1,4
2013-04,93,38,5,<1,3
2013-05,89,37,5,<1,4
2013-06,84,37,4,<1,3
2013-07,85,39,4,<1,4
2013-08,83,36,4,<1,3
2013-09,78,32,4,<1,4
2013-10,75,31,4,<1,3
2013-11,76,32,4,<1,4
2013-12,73,30,3,<1,3
2014-01,83,35,4,<1,3
2014-02,83,36,4,<1,4
2014-03,91,36,5,<1,4
2014-04,94,35,4,<1,3
2014-05,89,36,5,<1,4
2014-06,93,35,4,<1,3
2014-07,90,35,4,<1,3
2014-08,84,34,4,<1,3
2014-09,78,31,4,<1,3
2014-10,77,30,4,<1,3
2014-11,75,30,4,<1,4
2014-12,76,29,3,<1,2
2015-01,83,31,4,<1,3
2015-02,87,32,4,<1,3
2015-03,90,33,4,<1,4
2015-04,100,34,5,<1,3
2015-05,91,35,5,<1,4
2015-06,91,34,4,<1,3
2015-07,90,34,4,<1,3
2015-08,88,33,4,<1,3
2015-09,81,30,4,<1,3
2015-10,83,30,4,<1,3
2015-11,80,29,4,<1,3
2015-12,81,29,4,<1,3
2016-01,89,33,4,<1,3
2016-02,91,33,4,<1,3
2016-03,97,34,4,<1,4
2016-04,99,34,5,<1,4
2016-05,94,34,5,<1,5
2016-06,94,34,4,<1,3
2016-07,88,33,3,<1,3
2016-08,85,30,3,<1,3
2016-09,85,30,4,<1,3
2016-10,83,42,4,<1,17
2016-11,80,30,4,<1,5
2016-12,83,29,3,<1,3
2017-01,85,31,4,<1,3
2017-02,86,32,5,<1,4
2017-03,93,35,5,<1,5
2017-04,95,33,5,<1,4
2017-05,93,33,5,<1,4
2017-06,86,32,4,<1,4
2017-07,86,36,4,<1,5
2017-08,87,32,4,<1,3
2017-09,92,30,4,<1,3
2017-10,79,29,5,<1,3
2017-11,77,29,4,<1,4
2017-12,79,29,4,<1,3
2018-01,83,31,4,<1,3
2018-02,89,32,5,<1,3
2018-03,91,32,5,<1,4
2018-04,91,33,5,<1,4
2018-05,89,33,5,<1,4
2018-06,84,31,4,<1,3
2018-07,85,32,4,<1,2
2018-08,85,32,4,<1,4
2018-09,77,29,4,<1,4
2018-10,77,28,4,<1,3
