Category: All categories

Month,bleached coral reefs: (Worldwide)
2004-01,0
2004-02,0
2004-03,100
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,60
2004-10,0
2004-11,62
2004-12,0
2005-01,50
2005-02,52
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,39
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,27
2006-06,29
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,37
2007-04,0
2007-05,50
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,14
2007-12,59
2008-01,13
2008-02,0
2008-03,0
2008-04,12
2008-05,36
2008-06,12
2008-07,0
2008-08,0
2008-09,11
2008-10,10
2008-11,11
2008-12,16
2009-01,10
2009-02,10
2009-03,0
2009-04,0
2009-05,9
2009-06,9
2009-07,0
2009-08,0
2009-09,0
2009-10,15
2009-11,16
2009-12,0
2010-01,0
2010-02,23
2010-03,24
2010-04,11
2010-05,14
2010-06,0
2010-07,0
2010-08,7
2010-09,0
2010-10,6
2010-11,12
2010-12,6
2011-01,8
2011-02,9
2011-03,15
2011-04,0
2011-05,8
2011-06,5
2011-07,8
2011-08,0
2011-09,10
2011-10,7
2011-11,7
2011-12,5
2012-01,8
2012-02,6
2012-03,6
2012-04,4
2012-05,0
2012-06,8
2012-07,0
2012-08,0
2012-09,6
2012-10,5
2012-11,7
2012-12,4
2013-01,3
2013-02,5
2013-03,10
2013-04,7
2013-05,10
2013-06,3
2013-07,0
2013-08,5
2013-09,6
2013-10,8
2013-11,9
2013-12,5
2014-01,7
2014-02,3
2014-03,10
2014-04,7
2014-05,9
2014-06,6
2014-07,0
2014-08,0
2014-09,0
2014-10,4
2014-11,6
2014-12,7
2015-01,3
2015-02,9
2015-03,3
2015-04,14
2015-05,8
2015-06,3
2015-07,3
2015-08,3
2015-09,5
2015-10,9
2015-11,8
2015-12,4
2016-01,3
2016-02,7
2016-03,10
2016-04,20
2016-05,15
2016-06,5
2016-07,6
2016-08,6
2016-09,3
2016-10,8
2016-11,9
2016-12,10
2017-01,5
2017-02,11
2017-03,14
2017-04,17
2017-05,24
2017-06,9
2017-07,5
2017-08,5
2017-09,5
2017-10,5
2017-11,19
2017-12,13
2018-01,9
2018-02,10
2018-03,9
2018-04,12
2018-05,15
2018-06,8
2018-07,2
2018-08,2
2018-09,8
2018-10,0
