Category: All categories

Month,bleached coral: (Worldwide)
2004-01,21
2004-02,21
2004-03,78
2004-04,0
2004-05,17
2004-06,17
2004-07,0
2004-08,17
2004-09,15
2004-10,0
2004-11,48
2004-12,0
2005-01,13
2005-02,14
2005-03,23
2005-04,13
2005-05,11
2005-06,11
2005-07,0
2005-08,0
2005-09,10
2005-10,0
2005-11,9
2005-12,18
2006-01,8
2006-02,8
2006-03,14
2006-04,8
2006-05,11
2006-06,11
2006-07,0
2006-08,0
2006-09,6
2006-10,12
2006-11,9
2006-12,6
2007-01,5
2007-02,6
2007-03,12
2007-04,18
2007-05,11
2007-06,5
2007-07,4
2007-08,8
2007-09,6
2007-10,4
2007-11,7
2007-12,15
2008-01,7
2008-02,5
2008-03,6
2008-04,3
2008-05,11
2008-06,8
2008-07,5
2008-08,5
2008-09,6
2008-10,5
2008-11,6
2008-12,8
2009-01,5
2009-02,12
2009-03,9
2009-04,5
2009-05,6
2009-06,9
2009-07,6
2009-08,3
2009-09,2
2009-10,5
2009-11,10
2009-12,12
2010-01,4
2010-02,5
2010-03,11
2010-04,4
2010-05,15
2010-06,6
2010-07,3
2010-08,5
2010-09,7
2010-10,5
2010-11,6
2010-12,8
2011-01,9
2011-02,7
2011-03,4
2011-04,7
2011-05,8
2011-06,3
2011-07,3
2011-08,3
2011-09,4
2011-10,8
2011-11,7
2011-12,5
2012-01,5
2012-02,5
2012-03,4
2012-04,5
2012-05,6
2012-06,2
2012-07,3
2012-08,8
2012-09,3
2012-10,4
2012-11,5
2012-12,4
2013-01,3
2013-02,9
2013-03,8
2013-04,9
2013-05,9
2013-06,4
2013-07,2
2013-08,5
2013-09,5
2013-10,5
2013-11,8
2013-12,5
2014-01,6
2014-02,4
2014-03,6
2014-04,7
2014-05,10
2014-06,6
2014-07,6
2014-08,5
2014-09,6
2014-10,6
2014-11,5
2014-12,6
2015-01,5
2015-02,5
2015-03,9
2015-04,7
2015-05,6
2015-06,5
2015-07,2
2015-08,3
2015-09,6
2015-10,12
2015-11,8
2015-12,8
2016-01,4
2016-02,7
2016-03,10
2016-04,24
2016-05,19
2016-06,11
2016-07,7
2016-08,11
2016-09,8
2016-10,17
2016-11,15
2016-12,11
2017-01,11
2017-02,11
2017-03,19
2017-04,23
2017-05,20
2017-06,12
2017-07,14
2017-08,10
2017-09,9
2017-10,11
2017-11,15
2017-12,14
2018-01,13
2018-02,15
2018-03,26
2018-04,100
2018-05,37
2018-06,18
2018-07,18
2018-08,20
2018-09,18
2018-10,12
