Category: All categories

Month,bleached great barrier reef: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,100
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,37
2006-12,0
2007-01,0
2007-02,0
2007-03,30
2007-04,32
2007-05,28
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,21
2008-02,22
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,16
2009-02,0
2009-03,15
2009-04,0
2009-05,29
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,12
2010-03,0
2010-04,0
2010-05,0
2010-06,12
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,10
2010-12,10
2011-01,9
2011-02,0
2011-03,8
2011-04,0
2011-05,8
2011-06,17
2011-07,0
2011-08,8
2011-09,0
2011-10,7
2011-11,7
2011-12,0
2012-01,7
2012-02,14
2012-03,0
2012-04,0
2012-05,7
2012-06,7
2012-07,0
2012-08,6
2012-09,7
2012-10,0
2012-11,6
2012-12,6
2013-01,0
2013-02,12
2013-03,5
2013-04,5
2013-05,0
2013-06,5
2013-07,0
2013-08,5
2013-09,5
2013-10,0
2013-11,5
2013-12,5
2014-01,9
2014-02,0
2014-03,4
2014-04,0
2014-05,9
2014-06,0
2014-07,5
2014-08,0
2014-09,10
2014-10,5
2014-11,10
2014-12,5
2015-01,4
2015-02,0
2015-03,4
2015-04,14
2015-05,4
2015-06,4
2015-07,0
2015-08,4
2015-09,0
2015-10,14
2015-11,12
2015-12,4
2016-01,8
2016-02,4
2016-03,0
2016-04,40
2016-05,23
2016-06,11
2016-07,9
2016-08,16
2016-09,11
2016-10,38
2016-11,32
2016-12,8
2017-01,12
2017-02,15
2017-03,49
2017-04,38
2017-05,34
2017-06,21
2017-07,17
2017-08,16
2017-09,20
2017-10,25
2017-11,33
2017-12,20
2018-01,18
2018-02,24
2018-03,20
2018-04,21
2018-05,17
2018-06,11
2018-07,11
2018-08,15
2018-09,17
2018-10,14
