Category: All categories

Month,bleached reef: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,100
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,62
2005-07,0
2005-08,0
2005-09,55
2005-10,0
2005-11,52
2005-12,0
2006-01,0
2006-02,0
2006-03,39
2006-04,0
2006-05,0
2006-06,41
2006-07,0
2006-08,0
2006-09,37
2006-10,33
2006-11,0
2006-12,0
2007-01,29
2007-02,30
2007-03,40
2007-04,56
2007-05,24
2007-06,25
2007-07,24
2007-08,0
2007-09,22
2007-10,20
2007-11,59
2007-12,21
2008-01,18
2008-02,28
2008-03,0
2008-04,18
2008-05,17
2008-06,0
2008-07,0
2008-08,17
2008-09,16
2008-10,14
2008-11,15
2008-12,15
2009-01,14
2009-02,15
2009-03,39
2009-04,27
2009-05,38
2009-06,25
2009-07,13
2009-08,13
2009-09,12
2009-10,11
2009-11,11
2009-12,22
2010-01,10
2010-02,11
2010-03,15
2010-04,20
2010-05,15
2010-06,0
2010-07,0
2010-08,9
2010-09,27
2010-10,17
2010-11,17
2010-12,8
2011-01,31
2011-02,16
2011-03,22
2011-04,8
2011-05,11
2011-06,15
2011-07,11
2011-08,7
2011-09,7
2011-10,13
2011-11,6
2011-12,6
2012-01,9
2012-02,9
2012-03,12
2012-04,6
2012-05,8
2012-06,0
2012-07,0
2012-08,6
2012-09,23
2012-10,10
2012-11,8
2012-12,8
2013-01,0
2013-02,8
2013-03,12
2013-04,7
2013-05,7
2013-06,5
2013-07,0
2013-08,16
2013-09,9
2013-10,15
2013-11,11
2013-12,4
2014-01,14
2014-02,0
2014-03,12
2014-04,12
2014-05,21
2014-06,5
2014-07,7
2014-08,4
2014-09,9
2014-10,14
2014-11,15
2014-12,10
2015-01,8
2015-02,15
2015-03,11
2015-04,24
2015-05,13
2015-06,12
2015-07,8
2015-08,4
2015-09,5
2015-10,21
2015-11,14
2015-12,5
2016-01,7
2016-02,8
2016-03,18
2016-04,80
2016-05,64
2016-06,15
2016-07,14
2016-08,22
2016-09,21
2016-10,56
2016-11,52
2016-12,22
2017-01,19
2017-02,28
2017-03,59
2017-04,87
2017-05,38
2017-06,28
2017-07,25
2017-08,33
2017-09,37
2017-10,42
2017-11,56
2017-12,31
2018-01,27
2018-02,23
2018-03,28
2018-04,38
2018-05,40
2018-06,16
2018-07,21
2018-08,32
2018-09,27
2018-10,30
