Category: All categories

Month,coral bleaching on the great barrier reef: (Worldwide)
2004-01,0
2004-02,0
2004-03,100
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,60
2004-10,62
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,45
2005-08,0
2005-09,39
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,65
2006-03,28
2006-04,30
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,23
2006-11,23
2006-12,0
2007-01,0
2007-02,0
2007-03,19
2007-04,0
2007-05,17
2007-06,0
2007-07,17
2007-08,16
2007-09,0
2007-10,14
2007-11,14
2007-12,0
2008-01,0
2008-02,0
2008-03,13
2008-04,12
2008-05,12
2008-06,12
2008-07,12
2008-08,12
2008-09,23
2008-10,10
2008-11,11
2008-12,11
2009-01,19
2009-02,0
2009-03,14
2009-04,28
2009-05,23
2009-06,9
2009-07,9
2009-08,9
2009-09,17
2009-10,8
2009-11,8
2009-12,0
2010-01,0
2010-02,0
2010-03,14
2010-04,7
2010-05,7
2010-06,7
2010-07,0
2010-08,13
2010-09,9
2010-10,0
2010-11,12
2010-12,6
2011-01,0
2011-02,6
2011-03,5
2011-04,5
2011-05,10
2011-06,11
2011-07,5
2011-08,5
2011-09,0
2011-10,9
2011-11,5
2011-12,5
2012-01,4
2012-02,0
2012-03,6
2012-04,12
2012-05,4
2012-06,0
2012-07,0
2012-08,8
2012-09,6
2012-10,7
2012-11,5
2012-12,7
2013-01,0
2013-02,4
2013-03,5
2013-04,10
2013-05,13
2013-06,3
2013-07,7
2013-08,10
2013-09,9
2013-10,5
2013-11,5
2013-12,5
2014-01,6
2014-02,3
2014-03,4
2014-04,3
2014-05,3
2014-06,6
2014-07,6
2014-08,16
2014-09,0
2014-10,6
2014-11,4
2014-12,6
2015-01,3
2015-02,3
2015-03,5
2015-04,3
2015-05,4
2015-06,3
2015-07,8
2015-08,7
2015-09,4
2015-10,2
2015-11,6
2015-12,3
2016-01,3
2016-02,5
2016-03,8
2016-04,5
2016-05,12
2016-06,16
2016-07,5
2016-08,10
2016-09,16
2016-10,9
2016-11,13
2016-12,10
2017-01,4
2017-02,5
2017-03,16
2017-04,15
2017-05,10
2017-06,8
2017-07,9
2017-08,10
2017-09,10
2017-10,9
2017-11,17
2017-12,5
2018-01,6
2018-02,7
2018-03,8
2018-04,8
2018-05,16
2018-06,7
2018-07,7
2018-08,7
2018-09,6
2018-10,8
