Category: All categories

Month,coral bleaching: (Worldwide)
2004-01,51
2004-02,44
2004-03,100
2004-04,45
2004-05,55
2004-06,28
2004-07,26
2004-08,38
2004-09,25
2004-10,54
2004-11,61
2004-12,54
2005-01,41
2005-02,44
2005-03,33
2005-04,58
2005-05,43
2005-06,27
2005-07,22
2005-08,14
2005-09,39
2005-10,50
2005-11,54
2005-12,22
2006-01,27
2006-02,42
2006-03,61
2006-04,82
2006-05,57
2006-06,23
2006-07,17
2006-08,32
2006-09,32
2006-10,39
2006-11,60
2006-12,20
2007-01,29
2007-02,56
2007-03,41
2007-04,52
2007-05,64
2007-06,28
2007-07,22
2007-08,34
2007-09,33
2007-10,29
2007-11,39
2007-12,30
2008-01,27
2008-02,31
2008-03,44
2008-04,43
2008-05,57
2008-06,20
2008-07,23
2008-08,25
2008-09,32
2008-10,44
2008-11,44
2008-12,23
2009-01,18
2009-02,33
2009-03,38
2009-04,42
2009-05,40
2009-06,26
2009-07,13
2009-08,25
2009-09,24
2009-10,33
2009-11,43
2009-12,25
2010-01,20
2010-02,29
2010-03,40
2010-04,35
2010-05,37
2010-06,23
2010-07,19
2010-08,26
2010-09,31
2010-10,35
2010-11,33
2010-12,23
2011-01,24
2011-02,20
2011-03,35
2011-04,27
2011-05,31
2011-06,15
2011-07,11
2011-08,16
2011-09,20
2011-10,26
2011-11,29
2011-12,15
2012-01,20
2012-02,29
2012-03,25
2012-04,30
2012-05,29
2012-06,17
2012-07,12
2012-08,14
2012-09,20
2012-10,29
2012-11,35
2012-12,19
2013-01,18
2013-02,23
2013-03,29
2013-04,31
2013-05,29
2013-06,17
2013-07,10
2013-08,16
2013-09,21
2013-10,29
2013-11,29
2013-12,17
2014-01,15
2014-02,25
2014-03,29
2014-04,26
2014-05,26
2014-06,17
2014-07,12
2014-08,12
2014-09,21
2014-10,26
2014-11,26
2014-12,23
2015-01,16
2015-02,23
2015-03,24
2015-04,26
2015-05,28
2015-06,16
2015-07,13
2015-08,12
2015-09,19
2015-10,43
2015-11,35
2015-12,26
2016-01,15
2016-02,28
2016-03,50
2016-04,75
2016-05,69
2016-06,43
2016-07,22
2016-08,31
2016-09,34
2016-10,66
2016-11,58
2016-12,41
2017-01,33
2017-02,47
2017-03,67
2017-04,72
2017-05,63
2017-06,35
2017-07,38
2017-08,33
2017-09,42
2017-10,50
2017-11,57
2017-12,39
2018-01,39
2018-02,49
2018-03,54
2018-04,65
2018-05,64
2018-06,33
2018-07,23
2018-08,34
2018-09,45
2018-10,57
