Category: All categories

Month,coral disease: (Worldwide)
2004-01,54
2004-02,81
2004-03,100
2004-04,77
2004-05,66
2004-06,44
2004-07,70
2004-08,32
2004-09,40
2004-10,41
2004-11,81
2004-12,38
2005-01,49
2005-02,61
2005-03,29
2005-04,58
2005-05,29
2005-06,36
2005-07,15
2005-08,56
2005-09,39
2005-10,43
2005-11,48
2005-12,47
2006-01,63
2006-02,38
2006-03,41
2006-04,30
2006-05,41
2006-06,28
2006-07,28
2006-08,22
2006-09,42
2006-10,38
2006-11,19
2006-12,42
2007-01,27
2007-02,25
2007-03,34
2007-04,13
2007-05,36
2007-06,17
2007-07,20
2007-08,19
2007-09,16
2007-10,28
2007-11,23
2007-12,27
2008-01,21
2008-02,29
2008-03,29
2008-04,30
2008-05,36
2008-06,19
2008-07,16
2008-08,20
2008-09,22
2008-10,24
2008-11,14
2008-12,25
2009-01,13
2009-02,27
2009-03,21
2009-04,26
2009-05,16
2009-06,22
2009-07,25
2009-08,16
2009-09,34
2009-10,21
2009-11,23
2009-12,18
2010-01,29
2010-02,27
2010-03,27
2010-04,32
2010-05,19
2010-06,17
2010-07,16
2010-08,25
2010-09,13
2010-10,24
2010-11,14
2010-12,16
2011-01,18
2011-02,13
2011-03,22
2011-04,24
2011-05,26
2011-06,16
2011-07,11
2011-08,13
2011-09,13
2011-10,16
2011-11,14
2011-12,14
2012-01,19
2012-02,27
2012-03,24
2012-04,17
2012-05,24
2012-06,13
2012-07,11
2012-08,14
2012-09,16
2012-10,19
2012-11,22
2012-12,17
2013-01,16
2013-02,16
2013-03,19
2013-04,25
2013-05,16
2013-06,18
2013-07,15
2013-08,16
2013-09,19
2013-10,20
2013-11,22
2013-12,17
2014-01,19
2014-02,17
2014-03,18
2014-04,30
2014-05,24
2014-06,11
2014-07,16
2014-08,19
2014-09,10
2014-10,21
2014-11,15
2014-12,16
2015-01,14
2015-02,14
2015-03,15
2015-04,26
2015-05,14
2015-06,19
2015-07,17
2015-08,12
2015-09,15
2015-10,20
2015-11,18
2015-12,19
2016-01,18
2016-02,18
2016-03,24
2016-04,25
2016-05,21
2016-06,15
2016-07,13
2016-08,15
2016-09,15
2016-10,18
2016-11,18
2016-12,20
2017-01,18
2017-02,22
2017-03,19
2017-04,28
2017-05,16
2017-06,20
2017-07,15
2017-08,13
2017-09,13
2017-10,19
2017-11,20
2017-12,16
2018-01,19
2018-02,23
2018-03,23
2018-04,26
2018-05,25
2018-06,12
2018-07,17
2018-08,10
2018-09,17
2018-10,21
