Category: All categories

Month,coral reef animals: (Worldwide)
2004-01,83
2004-02,77
2004-03,55
2004-04,73
2004-05,100
2004-06,42
2004-07,11
2004-08,10
2004-09,66
2004-10,58
2004-11,63
2004-12,31
2005-01,51
2005-02,70
2005-03,55
2005-04,82
2005-05,99
2005-06,45
2005-07,28
2005-08,17
2005-09,43
2005-10,72
2005-11,60
2005-12,45
2006-01,54
2006-02,56
2006-03,56
2006-04,68
2006-05,58
2006-06,29
2006-07,16
2006-08,13
2006-09,26
2006-10,46
2006-11,53
2006-12,37
2007-01,16
2007-02,27
2007-03,48
2007-04,35
2007-05,57
2007-06,21
2007-07,12
2007-08,9
2007-09,26
2007-10,39
2007-11,31
2007-12,24
2008-01,26
2008-02,36
2008-03,34
2008-04,44
2008-05,36
2008-06,19
2008-07,10
2008-08,15
2008-09,24
2008-10,41
2008-11,39
2008-12,29
2009-01,35
2009-02,37
2009-03,38
2009-04,35
2009-05,46
2009-06,23
2009-07,14
2009-08,16
2009-09,28
2009-10,38
2009-11,36
2009-12,28
2010-01,27
2010-02,38
2010-03,42
2010-04,54
2010-05,52
2010-06,21
2010-07,12
2010-08,11
2010-09,25
2010-10,32
2010-11,31
2010-12,19
2011-01,20
2011-02,20
2011-03,36
2011-04,22
2011-05,43
2011-06,12
2011-07,8
2011-08,13
2011-09,21
2011-10,26
2011-11,22
2011-12,15
2012-01,19
2012-02,25
2012-03,26
2012-04,26
2012-05,31
2012-06,16
2012-07,9
2012-08,8
2012-09,19
2012-10,21
2012-11,21
2012-12,16
2013-01,21
2013-02,24
2013-03,25
2013-04,29
2013-05,32
2013-06,15
2013-07,12
2013-08,7
2013-09,22
2013-10,28
2013-11,26
2013-12,19
2014-01,14
2014-02,22
2014-03,25
2014-04,26
2014-05,39
2014-06,11
2014-07,7
2014-08,9
2014-09,17
2014-10,27
2014-11,22
2014-12,21
2015-01,19
2015-02,26
2015-03,25
2015-04,31
2015-05,36
2015-06,14
2015-07,9
2015-08,8
2015-09,22
2015-10,28
2015-11,28
2015-12,19
2016-01,18
2016-02,25
2016-03,28
2016-04,27
2016-05,35
2016-06,11
2016-07,5
2016-08,8
2016-09,19
2016-10,30
2016-11,28
2016-12,18
2017-01,22
2017-02,27
2017-03,31
2017-04,31
2017-05,38
2017-06,11
2017-07,7
2017-08,11
2017-09,18
2017-10,24
2017-11,31
2017-12,19
2018-01,24
2018-02,26
2018-03,28
2018-04,37
2018-05,37
2018-06,15
2018-07,8
2018-08,13
2018-09,19
2018-10,26
