Category: All categories

Month,coral reef death: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,100
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,39
2004-10,40
2004-11,40
2004-12,37
2005-01,32
2005-02,0
2005-03,28
2005-04,0
2005-05,0
2005-06,28
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,69
2006-01,0
2006-02,21
2006-03,18
2006-04,19
2006-05,0
2006-06,0
2006-07,0
2006-08,17
2006-09,0
2006-10,0
2006-11,14
2006-12,0
2007-01,0
2007-02,14
2007-03,0
2007-04,25
2007-05,11
2007-06,0
2007-07,11
2007-08,0
2007-09,0
2007-10,9
2007-11,18
2007-12,19
2008-01,8
2008-02,9
2008-03,8
2008-04,16
2008-05,8
2008-06,12
2008-07,8
2008-08,8
2008-09,11
2008-10,7
2008-11,14
2008-12,7
2009-01,19
2009-02,13
2009-03,12
2009-04,18
2009-05,6
2009-06,0
2009-07,6
2009-08,6
2009-09,8
2009-10,10
2009-11,10
2009-12,5
2010-01,9
2010-02,10
2010-03,4
2010-04,12
2010-05,14
2010-06,5
2010-07,4
2010-08,0
2010-09,8
2010-10,6
2010-11,6
2010-12,4
2011-01,7
2011-02,11
2011-03,8
2011-04,7
2011-05,7
2011-06,5
2011-07,3
2011-08,8
2011-09,6
2011-10,15
2011-11,3
2011-12,12
2012-01,5
2012-02,6
2012-03,5
2012-04,9
2012-05,6
2012-06,3
2012-07,5
2012-08,0
2012-09,5
2012-10,14
2012-11,4
2012-12,5
2013-01,6
2013-02,6
2013-03,4
2013-04,7
2013-05,8
2013-06,3
2013-07,5
2013-08,3
2013-09,5
2013-10,5
2013-11,2
2013-12,2
2014-01,6
2014-02,8
2014-03,5
2014-04,5
2014-05,5
2014-06,3
2014-07,3
2014-08,4
2014-09,4
2014-10,2
2014-11,8
2014-12,7
2015-01,5
2015-02,7
2015-03,9
2015-04,7
2015-05,3
2015-06,5
2015-07,5
2015-08,3
2015-09,3
2015-10,9
2015-11,2
2015-12,3
2016-01,8
2016-02,5
2016-03,6
2016-04,8
2016-05,8
2016-06,6
2016-07,4
2016-08,6
2016-09,4
2016-10,20
2016-11,13
2016-12,7
2017-01,7
2017-02,7
2017-03,9
2017-04,14
2017-05,9
2017-06,3
2017-07,7
2017-08,2
2017-09,10
2017-10,11
2017-11,6
2017-12,5
2018-01,7
2018-02,9
2018-03,14
2018-04,10
2018-05,9
2018-06,5
2018-07,6
2018-08,5
2018-09,10
2018-10,8
