Category: All categories

Month,coral reef habitat: (Worldwide)
2004-01,100
2004-02,99
2004-03,0
2004-04,71
2004-05,81
2004-06,82
2004-07,43
2004-08,40
2004-09,37
2004-10,75
2004-11,38
2004-12,69
2005-01,46
2005-02,32
2005-03,81
2005-04,45
2005-05,53
2005-06,53
2005-07,95
2005-08,26
2005-09,24
2005-10,22
2005-11,67
2005-12,86
2006-01,77
2006-02,20
2006-03,34
2006-04,64
2006-05,67
2006-06,53
2006-07,0
2006-08,65
2006-09,39
2006-10,57
2006-11,48
2006-12,28
2007-01,25
2007-02,19
2007-03,28
2007-04,54
2007-05,36
2007-06,16
2007-07,10
2007-08,20
2007-09,19
2007-10,26
2007-11,29
2007-12,23
2008-01,32
2008-02,24
2008-03,38
2008-04,34
2008-05,33
2008-06,15
2008-07,11
2008-08,11
2008-09,38
2008-10,43
2008-11,23
2008-12,23
2009-01,21
2009-02,25
2009-03,19
2009-04,34
2009-05,27
2009-06,27
2009-07,8
2009-08,14
2009-09,25
2009-10,21
2009-11,24
2009-12,10
2010-01,33
2010-02,28
2010-03,27
2010-04,24
2010-05,24
2010-06,26
2010-07,6
2010-08,10
2010-09,29
2010-10,27
2010-11,25
2010-12,14
2011-01,13
2011-02,19
2011-03,23
2011-04,23
2011-05,31
2011-06,6
2011-07,8
2011-08,5
2011-09,13
2011-10,23
2011-11,19
2011-12,15
2012-01,19
2012-02,24
2012-03,22
2012-04,25
2012-05,22
2012-06,9
2012-07,9
2012-08,11
2012-09,12
2012-10,19
2012-11,18
2012-12,11
2013-01,9
2013-02,14
2013-03,18
2013-04,20
2013-05,26
2013-06,21
2013-07,8
2013-08,11
2013-09,21
2013-10,18
2013-11,18
2013-12,19
2014-01,17
2014-02,19
2014-03,19
2014-04,20
2014-05,26
2014-06,9
2014-07,3
2014-08,6
2014-09,16
2014-10,27
2014-11,25
2014-12,12
2015-01,12
2015-02,14
2015-03,17
2015-04,22
2015-05,28
2015-06,8
2015-07,11
2015-08,5
2015-09,16
2015-10,25
2015-11,23
2015-12,12
2016-01,14
2016-02,20
2016-03,29
2016-04,24
2016-05,23
2016-06,10
2016-07,6
2016-08,7
2016-09,15
2016-10,20
2016-11,21
2016-12,14
2017-01,15
2017-02,19
2017-03,22
2017-04,29
2017-05,24
2017-06,12
2017-07,6
2017-08,11
2017-09,9
2017-10,19
2017-11,24
2017-12,15
2018-01,16
2018-02,16
2018-03,20
2018-04,34
2018-05,30
2018-06,17
2018-07,10
2018-08,5
2018-09,18
2018-10,18
