Category: All categories

Month,coral reef ocean acidification: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,55
2007-06,0
2007-07,56
2007-08,0
2007-09,52
2007-10,47
2007-11,0
2007-12,97
2008-01,43
2008-02,0
2008-03,41
2008-04,41
2008-05,40
2008-06,0
2008-07,0
2008-08,0
2008-09,37
2008-10,100
2008-11,0
2008-12,36
2009-01,32
2009-02,34
2009-03,0
2009-04,62
2009-05,30
2009-06,29
2009-07,0
2009-08,29
2009-09,27
2009-10,26
2009-11,26
2009-12,0
2010-01,36
2010-02,38
2010-03,23
2010-04,36
2010-05,71
2010-06,24
2010-07,0
2010-08,32
2010-09,0
2010-10,59
2010-11,19
2010-12,0
2011-01,0
2011-02,38
2011-03,34
2011-04,45
2011-05,67
2011-06,17
2011-07,17
2011-08,0
2011-09,32
2011-10,0
2011-11,60
2011-12,22
2012-01,41
2012-02,57
2012-03,40
2012-04,41
2012-05,26
2012-06,27
2012-07,27
2012-08,26
2012-09,20
2012-10,42
2012-11,42
2012-12,36
2013-01,22
2013-02,18
2013-03,43
2013-04,49
2013-05,58
2013-06,11
2013-07,11
2013-08,11
2013-09,26
2013-10,45
2013-11,40
2013-12,30
2014-01,28
2014-02,31
2014-03,46
2014-04,38
2014-05,62
2014-06,16
2014-07,10
2014-08,31
2014-09,40
2014-10,28
2014-11,59
2014-12,43
2015-01,40
2015-02,24
2015-03,26
2015-04,64
2015-05,57
2015-06,18
2015-07,22
2015-08,13
2015-09,30
2015-10,41
2015-11,59
2015-12,55
2016-01,17
2016-02,27
2016-03,46
2016-04,39
2016-05,89
2016-06,22
2016-07,23
2016-08,28
2016-09,27
2016-10,43
2016-11,64
2016-12,59
2017-01,28
2017-02,78
2017-03,76
2017-04,61
2017-05,60
2017-06,21
2017-07,25
2017-08,20
2017-09,74
2017-10,54
2017-11,55
2017-12,80
2018-01,33
2018-02,37
2018-03,58
2018-04,88
2018-05,86
2018-06,34
2018-07,11
2018-08,15
2018-09,37
2018-10,69
