Category: All categories

Month,damaged reefs: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,67
2004-05,0
2004-06,0
2004-07,0
2004-08,57
2004-09,52
2004-10,0
2004-11,0
2004-12,0
2005-01,86
2005-02,46
2005-03,38
2005-04,0
2005-05,38
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,32
2005-11,32
2005-12,0
2006-01,54
2006-02,28
2006-03,48
2006-04,26
2006-05,59
2006-06,100
2006-07,25
2006-08,23
2006-09,0
2006-10,0
2006-11,0
2006-12,20
2007-01,0
2007-02,37
2007-03,16
2007-04,25
2007-05,14
2007-06,15
2007-07,0
2007-08,14
2007-09,14
2007-10,25
2007-11,18
2007-12,13
2008-01,11
2008-02,0
2008-03,27
2008-04,16
2008-05,16
2008-06,16
2008-07,0
2008-08,10
2008-09,10
2008-10,18
2008-11,37
2008-12,18
2009-01,17
2009-02,9
2009-03,16
2009-04,8
2009-05,12
2009-06,15
2009-07,0
2009-08,8
2009-09,14
2009-10,7
2009-11,20
2009-12,10
2010-01,16
2010-02,20
2010-03,12
2010-04,12
2010-05,12
2010-06,9
2010-07,6
2010-08,6
2010-09,0
2010-10,16
2010-11,15
2010-12,0
2011-01,5
2011-02,10
2011-03,13
2011-04,19
2011-05,16
2011-06,5
2011-07,0
2011-08,4
2011-09,6
2011-10,10
2011-11,10
2011-12,6
2012-01,4
2012-02,7
2012-03,7
2012-04,7
2012-05,10
2012-06,4
2012-07,3
2012-08,0
2012-09,9
2012-10,11
2012-11,6
2012-12,13
2013-01,4
2013-02,11
2013-03,10
2013-04,13
2013-05,12
2013-06,6
2013-07,6
2013-08,3
2013-09,5
2013-10,9
2013-11,15
2013-12,7
2014-01,10
2014-02,11
2014-03,5
2014-04,10
2014-05,9
2014-06,6
2014-07,0
2014-08,4
2014-09,5
2014-10,9
2014-11,4
2014-12,13
2015-01,0
2015-02,5
2015-03,9
2015-04,11
2015-05,5
2015-06,4
2015-07,2
2015-08,5
2015-09,4
2015-10,6
2015-11,8
2015-12,7
2016-01,8
2016-02,8
2016-03,4
2016-04,8
2016-05,10
2016-06,2
2016-07,4
2016-08,5
2016-09,8
2016-10,8
2016-11,4
2016-12,8
2017-01,5
2017-02,7
2017-03,19
2017-04,6
2017-05,5
2017-06,4
2017-07,3
2017-08,0
2017-09,8
2017-10,5
2017-11,6
2017-12,5
2018-01,9
2018-02,4
2018-03,5
2018-04,4
2018-05,9
2018-06,6
2018-07,5
2018-08,8
2018-09,8
2018-10,7
