Category: All categories

Month,dead coral reef: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,23
2004-05,0
2004-06,20
2004-07,0
2004-08,0
2004-09,0
2004-10,18
2004-11,18
2004-12,0
2005-01,15
2005-02,16
2005-03,13
2005-04,0
2005-05,19
2005-06,0
2005-07,0
2005-08,0
2005-09,11
2005-10,0
2005-11,22
2005-12,0
2006-01,19
2006-02,10
2006-03,8
2006-04,0
2006-05,12
2006-06,9
2006-07,0
2006-08,0
2006-09,22
2006-10,10
2006-11,13
2006-12,7
2007-01,6
2007-02,0
2007-03,5
2007-04,12
2007-05,5
2007-06,10
2007-07,5
2007-08,5
2007-09,0
2007-10,17
2007-11,8
2007-12,4
2008-01,15
2008-02,12
2008-03,4
2008-04,11
2008-05,4
2008-06,4
2008-07,7
2008-08,0
2008-09,7
2008-10,6
2008-11,13
2008-12,3
2009-01,14
2009-02,8
2009-03,7
2009-04,15
2009-05,5
2009-06,8
2009-07,0
2009-08,4
2009-09,7
2009-10,6
2009-11,5
2009-12,9
2010-01,5
2010-02,6
2010-03,6
2010-04,8
2010-05,8
2010-06,6
2010-07,4
2010-08,3
2010-09,7
2010-10,3
2010-11,6
2010-12,3
2011-01,2
2011-02,5
2011-03,5
2011-04,5
2011-05,6
2011-06,3
2011-07,2
2011-08,3
2011-09,2
2011-10,5
2011-11,5
2011-12,8
2012-01,7
2012-02,9
2012-03,9
2012-04,6
2012-05,4
2012-06,2
2012-07,4
2012-08,4
2012-09,7
2012-10,6
2012-11,5
2012-12,5
2013-01,4
2013-02,4
2013-03,5
2013-04,5
2013-05,6
2013-06,6
2013-07,4
2013-08,4
2013-09,3
2013-10,4
2013-11,9
2013-12,3
2014-01,4
2014-02,5
2014-03,6
2014-04,5
2014-05,9
2014-06,5
2014-07,1
2014-08,2
2014-09,4
2014-10,8
2014-11,4
2014-12,5
2015-01,4
2015-02,7
2015-03,7
2015-04,4
2015-05,4
2015-06,4
2015-07,3
2015-08,3
2015-09,5
2015-10,4
2015-11,4
2015-12,4
2016-01,3
2016-02,8
2016-03,6
2016-04,12
2016-05,10
2016-06,7
2016-07,4
2016-08,3
2016-09,4
2016-10,100
2016-11,34
2016-12,15
2017-01,21
2017-02,19
2017-03,32
2017-04,29
2017-05,23
2017-06,12
2017-07,47
2017-08,13
2017-09,17
2017-10,19
2017-11,19
2017-12,15
2018-01,13
2018-02,15
2018-03,17
2018-04,13
2018-05,15
2018-06,7
2018-07,8
2018-08,9
2018-09,9
2018-10,11
