Category: All categories

Month,dead coral: (Worldwide)
2004-01,24
2004-02,20
2004-03,10
2004-04,12
2004-05,10
2004-06,27
2004-07,0
2004-08,0
2004-09,12
2004-10,21
2004-11,15
2004-12,6
2005-01,10
2005-02,10
2005-03,13
2005-04,7
2005-05,11
2005-06,9
2005-07,7
2005-08,15
2005-09,19
2005-10,11
2005-11,7
2005-12,9
2006-01,14
2006-02,5
2006-03,11
2006-04,9
2006-05,11
2006-06,6
2006-07,3
2006-08,7
2006-09,11
2006-10,10
2006-11,7
2006-12,12
2007-01,8
2007-02,8
2007-03,5
2007-04,3
2007-05,11
2007-06,10
2007-07,9
2007-08,9
2007-09,8
2007-10,6
2007-11,7
2007-12,7
2008-01,9
2008-02,10
2008-03,5
2008-04,10
2008-05,8
2008-06,10
2008-07,10
2008-08,8
2008-09,11
2008-10,11
2008-11,14
2008-12,6
2009-01,6
2009-02,9
2009-03,15
2009-04,10
2009-05,11
2009-06,11
2009-07,9
2009-08,8
2009-09,16
2009-10,8
2009-11,13
2009-12,5
2010-01,12
2010-02,8
2010-03,11
2010-04,7
2010-05,14
2010-06,9
2010-07,14
2010-08,6
2010-09,10
2010-10,9
2010-11,12
2010-12,7
2011-01,14
2011-02,12
2011-03,10
2011-04,11
2011-05,15
2011-06,15
2011-07,12
2011-08,9
2011-09,9
2011-10,13
2011-11,11
2011-12,11
2012-01,11
2012-02,16
2012-03,10
2012-04,11
2012-05,11
2012-06,12
2012-07,12
2012-08,10
2012-09,13
2012-10,10
2012-11,16
2012-12,11
2013-01,9
2013-02,13
2013-03,14
2013-04,14
2013-05,13
2013-06,14
2013-07,10
2013-08,12
2013-09,11
2013-10,10
2013-11,14
2013-12,11
2014-01,13
2014-02,13
2014-03,19
2014-04,13
2014-05,13
2014-06,19
2014-07,82
2014-08,59
2014-09,44
2014-10,100
2014-11,65
2014-12,49
2015-01,37
2015-02,42
2015-03,46
2015-04,47
2015-05,34
2015-06,29
2015-07,30
2015-08,35
2015-09,30
2015-10,56
2015-11,42
2015-12,35
2016-01,23
2016-02,63
2016-03,36
2016-04,42
2016-05,29
2016-06,24
2016-07,25
2016-08,17
2016-09,24
2016-10,83
2016-11,45
2016-12,27
2017-01,21
2017-02,27
2017-03,30
2017-04,29
2017-05,24
2017-06,19
2017-07,33
2017-08,22
2017-09,19
2017-10,24
2017-11,24
2017-12,30
2018-01,20
2018-02,29
2018-03,26
2018-04,24
2018-05,21
2018-06,17
2018-07,19
2018-08,20
2018-09,19
2018-10,22
