Category: All categories

Month,florida keys coral reef: (Worldwide)
2004-01,0
2004-02,81
2004-03,100
2004-04,38
2004-05,33
2004-06,33
2004-07,0
2004-08,32
2004-09,30
2004-10,61
2004-11,31
2004-12,28
2005-01,25
2005-02,39
2005-03,22
2005-04,25
2005-05,32
2005-06,43
2005-07,0
2005-08,0
2005-09,39
2005-10,46
2005-11,18
2005-12,35
2006-01,47
2006-02,32
2006-03,13
2006-04,30
2006-05,14
2006-06,43
2006-07,14
2006-08,13
2006-09,25
2006-10,17
2006-11,22
2006-12,0
2007-01,25
2007-02,21
2007-03,0
2007-04,24
2007-05,13
2007-06,18
2007-07,17
2007-08,16
2007-09,8
2007-10,14
2007-11,17
2007-12,11
2008-01,16
2008-02,26
2008-03,9
2008-04,9
2008-05,12
2008-06,12
2008-07,24
2008-08,21
2008-09,14
2008-10,20
2008-11,5
2008-12,27
2009-01,19
2009-02,15
2009-03,27
2009-04,33
2009-05,25
2009-06,18
2009-07,9
2009-08,15
2009-09,12
2009-10,14
2009-11,18
2009-12,8
2010-01,7
2010-02,15
2010-03,8
2010-04,18
2010-05,16
2010-06,11
2010-07,7
2010-08,11
2010-09,14
2010-10,15
2010-11,9
2010-12,13
2011-01,18
2011-02,11
2011-03,28
2011-04,10
2011-05,11
2011-06,9
2011-07,9
2011-08,6
2011-09,6
2011-10,10
2011-11,7
2011-12,8
2012-01,5
2012-02,10
2012-03,17
2012-04,10
2012-05,8
2012-06,4
2012-07,10
2012-08,5
2012-09,9
2012-10,13
2012-11,11
2012-12,11
2013-01,8
2013-02,9
2013-03,13
2013-04,12
2013-05,10
2013-06,9
2013-07,6
2013-08,8
2013-09,6
2013-10,12
2013-11,6
2013-12,5
2014-01,11
2014-02,9
2014-03,14
2014-04,11
2014-05,11
2014-06,8
2014-07,8
2014-08,10
2014-09,6
2014-10,9
2014-11,9
2014-12,10
2015-01,8
2015-02,9
2015-03,11
2015-04,10
2015-05,13
2015-06,9
2015-07,5
2015-08,7
2015-09,9
2015-10,13
2015-11,9
2015-12,9
2016-01,12
2016-02,14
2016-03,12
2016-04,12
2016-05,11
2016-06,5
2016-07,10
2016-08,3
2016-09,5
2016-10,6
2016-11,6
2016-12,11
2017-01,11
2017-02,12
2017-03,13
2017-04,11
2017-05,12
2017-06,10
2017-07,11
2017-08,10
2017-09,7
2017-10,8
2017-11,5
2017-12,5
2018-01,6
2018-02,10
2018-03,10
2018-04,12
2018-05,12
2018-06,11
2018-07,8
2018-08,9
2018-09,6
2018-10,8
