Category: All categories

Month,florida keys diving: (Worldwide)
2004-01,100
2004-02,50
2004-03,88
2004-04,81
2004-05,41
2004-06,77
2004-07,37
2004-08,63
2004-09,37
2004-10,32
2004-11,32
2004-12,30
2005-01,48
2005-02,32
2005-03,43
2005-04,52
2005-05,72
2005-06,61
2005-07,39
2005-08,52
2005-09,34
2005-10,6
2005-11,42
2005-12,44
2006-01,25
2006-02,51
2006-03,41
2006-04,53
2006-05,22
2006-06,38
2006-07,48
2006-08,28
2006-09,18
2006-10,24
2006-11,24
2006-12,29
2007-01,16
2007-02,21
2007-03,31
2007-04,31
2007-05,25
2007-06,23
2007-07,43
2007-08,24
2007-09,18
2007-10,20
2007-11,13
2007-12,25
2008-01,27
2008-02,28
2008-03,31
2008-04,14
2008-05,25
2008-06,19
2008-07,27
2008-08,16
2008-09,17
2008-10,18
2008-11,14
2008-12,13
2009-01,26
2009-02,27
2009-03,15
2009-04,24
2009-05,13
2009-06,19
2009-07,16
2009-08,29
2009-09,18
2009-10,12
2009-11,14
2009-12,11
2010-01,20
2010-02,14
2010-03,14
2010-04,17
2010-05,16
2010-06,9
2010-07,14
2010-08,20
2010-09,12
2010-10,13
2010-11,13
2010-12,8
2011-01,18
2011-02,20
2011-03,16
2011-04,15
2011-05,10
2011-06,15
2011-07,22
2011-08,15
2011-09,9
2011-10,9
2011-11,13
2011-12,10
2012-01,13
2012-02,14
2012-03,12
2012-04,14
2012-05,13
2012-06,15
2012-07,17
2012-08,11
2012-09,10
2012-10,10
2012-11,6
2012-12,13
2013-01,14
2013-02,9
2013-03,14
2013-04,10
2013-05,13
2013-06,13
2013-07,14
2013-08,13
2013-09,10
2013-10,11
2013-11,11
2013-12,8
2014-01,11
2014-02,9
2014-03,12
2014-04,9
2014-05,7
2014-06,10
2014-07,13
2014-08,12
2014-09,10
2014-10,9
2014-11,11
2014-12,8
2015-01,11
2015-02,7
2015-03,14
2015-04,11
2015-05,13
2015-06,12
2015-07,15
2015-08,13
2015-09,8
2015-10,7
2015-11,7
2015-12,7
2016-01,13
2016-02,12
2016-03,10
2016-04,9
2016-05,11
2016-06,9
2016-07,11
2016-08,9
2016-09,9
2016-10,5
2016-11,6
2016-12,7
2017-01,13
2017-02,12
2017-03,10
2017-04,8
2017-05,9
2017-06,9
2017-07,12
2017-08,9
2017-09,6
2017-10,6
2017-11,4
2017-12,7
2018-01,6
2018-02,9
2018-03,7
2018-04,9
2018-05,7
2018-06,7
2018-07,11
2018-08,7
2018-09,7
2018-10,5
