Category: All categories

Month,global warming and coral reefs: (Worldwide)
2004-01,72
2004-02,71
2004-03,89
2004-04,0
2004-05,58
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,54
2004-11,0
2004-12,100
2005-01,0
2005-02,0
2005-03,38
2005-04,0
2005-05,0
2005-06,38
2005-07,0
2005-08,37
2005-09,0
2005-10,0
2005-11,32
2005-12,31
2006-01,0
2006-02,57
2006-03,49
2006-04,26
2006-05,36
2006-06,25
2006-07,25
2006-08,0
2006-09,0
2006-10,0
2006-11,39
2006-12,20
2007-01,27
2007-02,37
2007-03,24
2007-04,34
2007-05,66
2007-06,0
2007-07,15
2007-08,14
2007-09,35
2007-10,37
2007-11,96
2007-12,26
2008-01,34
2008-02,35
2008-03,27
2008-04,16
2008-05,27
2008-06,11
2008-07,32
2008-08,21
2008-09,10
2008-10,22
2008-11,37
2008-12,28
2009-01,21
2009-02,0
2009-03,16
2009-04,12
2009-05,20
2009-06,15
2009-07,8
2009-08,8
2009-09,15
2009-10,17
2009-11,34
2009-12,27
2010-01,13
2010-02,23
2010-03,21
2010-04,25
2010-05,22
2010-06,6
2010-07,6
2010-08,6
2010-09,14
2010-10,21
2010-11,15
2010-12,10
2011-01,0
2011-02,5
2011-03,7
2011-04,10
2011-05,16
2011-06,9
2011-07,14
2011-08,4
2011-09,10
2011-10,14
2011-11,16
2011-12,12
2012-01,13
2012-02,8
2012-03,16
2012-04,20
2012-05,7
2012-06,5
2012-07,4
2012-08,10
2012-09,7
2012-10,13
2012-11,18
2012-12,8
2013-01,9
2013-02,17
2013-03,6
2013-04,7
2013-05,15
2013-06,3
2013-07,6
2013-08,3
2013-09,8
2013-10,5
2013-11,5
2013-12,4
2014-01,10
2014-02,3
2014-03,15
2014-04,5
2014-05,14
2014-06,10
2014-07,4
2014-08,0
2014-09,4
2014-10,3
2014-11,12
2014-12,0
2015-01,6
2015-02,5
2015-03,10
2015-04,8
2015-05,5
2015-06,5
2015-07,0
2015-08,6
2015-09,8
2015-10,5
2015-11,12
2015-12,8
2016-01,6
2016-02,2
2016-03,12
2016-04,13
2016-05,18
2016-06,8
2016-07,5
2016-08,4
2016-09,5
2016-10,9
2016-11,16
2016-12,6
2017-01,3
2017-02,6
2017-03,10
2017-04,10
2017-05,16
2017-06,6
2017-07,3
2017-08,6
2017-09,2
2017-10,7
2017-11,15
2017-12,5
2018-01,5
2018-02,2
2018-03,10
2018-04,16
2018-05,16
2018-06,2
2018-07,0
2018-08,4
2018-09,5
2018-10,7
