Category: All categories

Month,global warming: (Worldwide)
2004-01,27
2004-02,30
2004-03,31
2004-04,28
2004-05,31
2004-06,24
2004-07,14
2004-08,14
2004-09,27
2004-10,31
2004-11,38
2004-12,28
2005-01,35
2005-02,38
2005-03,32
2005-04,32
2005-05,31
2005-06,23
2005-07,18
2005-08,17
2005-09,33
2005-10,35
2005-11,41
2005-12,28
2006-01,29
2006-02,36
2006-03,38
2006-04,44
2006-05,43
2006-06,38
2006-07,33
2006-08,25
2006-09,37
2006-10,44
2006-11,54
2006-12,51
2007-01,76
2007-02,96
2007-03,100
2007-04,100
2007-05,84
2007-06,55
2007-07,45
2007-08,40
2007-09,53
2007-10,67
2007-11,71
2007-12,59
2008-01,55
2008-02,58
2008-03,55
2008-04,66
2008-05,61
2008-06,44
2008-07,32
2008-08,27
2008-09,41
2008-10,45
2008-11,48
2008-12,39
2009-01,40
2009-02,41
2009-03,45
2009-04,46
2009-05,42
2009-06,31
2009-07,25
2009-08,22
2009-09,31
2009-10,41
2009-11,52
2009-12,57
2010-01,44
2010-02,44
2010-03,40
2010-04,37
2010-05,34
2010-06,23
2010-07,18
2010-08,18
2010-09,22
2010-10,26
2010-11,28
2010-12,23
2011-01,26
2011-02,28
2011-03,26
2011-04,23
2011-05,25
2011-06,20
2011-07,16
2011-08,17
2011-09,21
2011-10,23
2011-11,27
2011-12,21
2012-01,24
2012-02,25
2012-03,24
2012-04,19
2012-05,19
2012-06,14
2012-07,14
2012-08,12
2012-09,17
2012-10,19
2012-11,23
2012-12,17
2013-01,17
2013-02,19
2013-03,17
2013-04,18
2013-05,18
2013-06,13
2013-07,11
2013-08,11
2013-09,15
2013-10,16
2013-11,17
2013-12,14
2014-01,19
2014-02,18
2014-03,16
2014-04,16
2014-05,18
2014-06,14
2014-07,10
2014-08,11
2014-09,17
2014-10,15
2014-11,17
2014-12,12
2015-01,14
2015-02,16
2015-03,15
2015-04,15
2015-05,15
2015-06,13
2015-07,10
2015-08,11
2015-09,14
2015-10,15
2015-11,18
2015-12,20
2016-01,15
2016-02,16
2016-03,16
2016-04,17
2016-05,17
2016-06,12
2016-07,10
2016-08,11
2016-09,14
2016-10,15
2016-11,21
2016-12,15
2017-01,17
2017-02,18
2017-03,17
2017-04,15
2017-05,15
2017-06,15
2017-07,11
2017-08,11
2017-09,15
2017-10,14
2017-11,15
2017-12,14
2018-01,16
2018-02,14
2018-03,13
2018-04,13
2018-05,13
2018-06,9
2018-07,9
2018-08,10
2018-09,11
2018-10,13
