Category: All categories

Month,great barrier reef climate change: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,61
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,40
2005-04,0
2005-05,40
2005-06,0
2005-07,41
2005-08,39
2005-09,0
2005-10,34
2005-11,100
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,28
2006-05,37
2006-06,0
2006-07,26
2006-08,24
2006-09,23
2006-10,74
2006-11,0
2006-12,21
2007-01,37
2007-02,19
2007-03,68
2007-04,27
2007-05,38
2007-06,32
2007-07,23
2007-08,15
2007-09,94
2007-10,45
2007-11,25
2007-12,27
2008-01,0
2008-02,18
2008-03,34
2008-04,28
2008-05,39
2008-06,34
2008-07,17
2008-08,11
2008-09,36
2008-10,33
2008-11,44
2008-12,10
2009-01,13
2009-02,9
2009-03,12
2009-04,26
2009-05,41
2009-06,20
2009-07,16
2009-08,8
2009-09,42
2009-10,46
2009-11,29
2009-12,18
2010-01,7
2010-02,24
2010-03,22
2010-04,13
2010-05,33
2010-06,33
2010-07,12
2010-08,24
2010-09,11
2010-10,38
2010-11,35
2010-12,11
2011-01,7
2011-02,18
2011-03,26
2011-04,18
2011-05,21
2011-06,10
2011-07,5
2011-08,23
2011-09,17
2011-10,21
2011-11,17
2011-12,8
2012-01,6
2012-02,16
2012-03,26
2012-04,19
2012-05,25
2012-06,15
2012-07,7
2012-08,15
2012-09,26
2012-10,20
2012-11,37
2012-12,7
2013-01,8
2013-02,13
2013-03,28
2013-04,9
2013-05,31
2013-06,11
2013-07,9
2013-08,21
2013-09,24
2013-10,37
2013-11,29
2013-12,11
2014-01,9
2014-02,27
2014-03,22
2014-04,33
2014-05,24
2014-06,22
2014-07,9
2014-08,40
2014-09,41
2014-10,40
2014-11,55
2014-12,17
2015-01,10
2015-02,19
2015-03,41
2015-04,20
2015-05,34
2015-06,31
2015-07,13
2015-08,32
2015-09,33
2015-10,43
2015-11,44
2015-12,16
2016-01,13
2016-02,20
2016-03,51
2016-04,40
2016-05,75
2016-06,49
2016-07,20
2016-08,48
2016-09,45
2016-10,75
2016-11,65
2016-12,27
2017-01,29
2017-02,37
2017-03,71
2017-04,53
2017-05,52
2017-06,38
2017-07,34
2017-08,27
2017-09,43
2017-10,38
2017-11,46
2017-12,24
2018-01,23
2018-02,28
2018-03,48
2018-04,35
2018-05,70
2018-06,37
2018-07,11
2018-08,40
2018-09,53
2018-10,50
