Category: All categories

Month,great coral reef dead: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,46
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,17
2006-11,17
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,13
2007-07,13
2007-08,0
2007-09,0
2007-10,10
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,9
2008-05,9
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,8
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,13
2009-04,7
2009-05,0
2009-06,7
2009-07,0
2009-08,0
2009-09,6
2009-10,6
2009-11,0
2009-12,6
2010-01,0
2010-02,6
2010-03,5
2010-04,5
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,13
2010-12,0
2011-01,0
2011-02,0
2011-03,8
2011-04,6
2011-05,4
2011-06,4
2011-07,0
2011-08,0
2011-09,4
2011-10,3
2011-11,3
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,3
2012-05,0
2012-06,0
2012-07,0
2012-08,3
2012-09,3
2012-10,3
2012-11,3
2012-12,0
2013-01,5
2013-02,0
2013-03,0
2013-04,2
2013-05,2
2013-06,2
2013-07,0
2013-08,0
2013-09,0
2013-10,2
2013-11,2
2013-12,0
2014-01,2
2014-02,0
2014-03,4
2014-04,0
2014-05,4
2014-06,2
2014-07,0
2014-08,5
2014-09,0
2014-10,3
2014-11,2
2014-12,4
2015-01,4
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,4
2015-08,2
2015-09,2
2015-10,2
2015-11,2
2015-12,2
2016-01,2
2016-02,3
2016-03,3
2016-04,2
2016-05,2
2016-06,7
2016-07,2
2016-08,3
2016-09,4
2016-10,100
2016-11,33
2016-12,21
2017-01,14
2017-02,11
2017-03,28
2017-04,23
2017-05,17
2017-06,9
2017-07,48
2017-08,4
2017-09,10
2017-10,16
2017-11,10
2017-12,12
2018-01,7
2018-02,14
2018-03,13
2018-04,13
2018-05,12
2018-06,3
2018-07,6
2018-08,7
2018-09,7
2018-10,6
