Category: All categories

Month,is great barrier reef dying: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,36
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,30
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,21
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,16
2007-05,28
2007-06,14
2007-07,0
2007-08,13
2007-09,0
2007-10,12
2007-11,0
2007-12,0
2008-01,11
2008-02,0
2008-03,0
2008-04,10
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,9
2008-12,0
2009-01,8
2009-02,17
2009-03,0
2009-04,8
2009-05,7
2009-06,0
2009-07,0
2009-08,0
2009-09,14
2009-10,6
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,6
2010-04,6
2010-05,0
2010-06,6
2010-07,6
2010-08,5
2010-09,0
2010-10,0
2010-11,0
2010-12,5
2011-01,0
2011-02,5
2011-03,13
2011-04,0
2011-05,0
2011-06,4
2011-07,0
2011-08,0
2011-09,4
2011-10,4
2011-11,0
2011-12,4
2012-01,3
2012-02,0
2012-03,0
2012-04,3
2012-05,3
2012-06,0
2012-07,0
2012-08,3
2012-09,3
2012-10,4
2012-11,3
2012-12,3
2013-01,3
2013-02,9
2013-03,4
2013-04,5
2013-05,6
2013-06,3
2013-07,5
2013-08,0
2013-09,4
2013-10,5
2013-11,2
2013-12,2
2014-01,2
2014-02,5
2014-03,6
2014-04,2
2014-05,7
2014-06,4
2014-07,0
2014-08,3
2014-09,2
2014-10,4
2014-11,5
2014-12,2
2015-01,2
2015-02,2
2015-03,3
2015-04,3
2015-05,5
2015-06,8
2015-07,5
2015-08,5
2015-09,4
2015-10,3
2015-11,4
2015-12,4
2016-01,2
2016-02,0
2016-03,8
2016-04,15
2016-05,13
2016-06,8
2016-07,8
2016-08,6
2016-09,8
2016-10,100
2016-11,36
2016-12,21
2017-01,21
2017-02,36
2017-03,37
2017-04,41
2017-05,25
2017-06,18
2017-07,21
2017-08,18
2017-09,14
2017-10,17
2017-11,24
2017-12,8
2018-01,16
2018-02,24
2018-03,28
2018-04,29
2018-05,40
2018-06,20
2018-07,12
2018-08,29
2018-09,30
2018-10,21
