Category: All categories

Month,ocean acidification effects: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,26
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,18
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,16
2007-09,0
2007-10,14
2007-11,20
2007-12,15
2008-01,26
2008-02,0
2008-03,0
2008-04,18
2008-05,24
2008-06,0
2008-07,12
2008-08,12
2008-09,0
2008-10,30
2008-11,21
2008-12,31
2009-01,10
2009-02,10
2009-03,27
2009-04,37
2009-05,13
2009-06,9
2009-07,17
2009-08,18
2009-09,29
2009-10,23
2009-11,19
2009-12,35
2010-01,7
2010-02,34
2010-03,41
2010-04,46
2010-05,32
2010-06,7
2010-07,13
2010-08,13
2010-09,19
2010-10,21
2010-11,14
2010-12,12
2011-01,16
2011-02,17
2011-03,18
2011-04,14
2011-05,20
2011-06,8
2011-07,10
2011-08,25
2011-09,19
2011-10,34
2011-11,34
2011-12,9
2012-01,15
2012-02,17
2012-03,28
2012-04,27
2012-05,24
2012-06,20
2012-07,12
2012-08,8
2012-09,22
2012-10,31
2012-11,42
2012-12,36
2013-01,21
2013-02,27
2013-03,39
2013-04,37
2013-05,51
2013-06,20
2013-07,16
2013-08,13
2013-09,26
2013-10,58
2013-11,55
2013-12,27
2014-01,21
2014-02,39
2014-03,34
2014-04,41
2014-05,36
2014-06,21
2014-07,13
2014-08,25
2014-09,34
2014-10,38
2014-11,63
2014-12,26
2015-01,27
2015-02,38
2015-03,35
2015-04,48
2015-05,51
2015-06,35
2015-07,15
2015-08,21
2015-09,31
2015-10,36
2015-11,64
2015-12,45
2016-01,36
2016-02,26
2016-03,40
2016-04,57
2016-05,62
2016-06,29
2016-07,23
2016-08,18
2016-09,36
2016-10,42
2016-11,72
2016-12,34
2017-01,27
2017-02,45
2017-03,59
2017-04,60
2017-05,76
2017-06,50
2017-07,13
2017-08,28
2017-09,40
2017-10,49
2017-11,61
2017-12,44
2018-01,44
2018-02,52
2018-03,47
2018-04,63
2018-05,100
2018-06,43
2018-07,22
2018-08,37
2018-09,44
2018-10,58
