Category: All categories

Month,reef death: (Worldwide)
2004-01,38
2004-02,0
2004-03,71
2004-04,37
2004-05,63
2004-06,32
2004-07,33
2004-08,92
2004-09,57
2004-10,29
2004-11,72
2004-12,54
2005-01,35
2005-02,25
2005-03,62
2005-04,47
2005-05,51
2005-06,51
2005-07,63
2005-08,40
2005-09,46
2005-10,43
2005-11,26
2005-12,50
2006-01,22
2006-02,23
2006-03,71
2006-04,57
2006-05,26
2006-06,20
2006-07,14
2006-08,19
2006-09,84
2006-10,55
2006-11,42
2006-12,22
2007-01,19
2007-02,20
2007-03,31
2007-04,18
2007-05,20
2007-06,29
2007-07,32
2007-08,0
2007-09,15
2007-10,23
2007-11,16
2007-12,28
2008-01,24
2008-02,25
2008-03,15
2008-04,29
2008-05,29
2008-06,23
2008-07,34
2008-08,17
2008-09,16
2008-10,36
2008-11,30
2008-12,13
2009-01,23
2009-02,14
2009-03,23
2009-04,31
2009-05,28
2009-06,27
2009-07,17
2009-08,6
2009-09,24
2009-10,29
2009-11,22
2009-12,13
2010-01,17
2010-02,20
2010-03,19
2010-04,36
2010-05,17
2010-06,24
2010-07,14
2010-08,18
2010-09,18
2010-10,17
2010-11,28
2010-12,42
2011-01,50
2011-02,39
2011-03,28
2011-04,36
2011-05,17
2011-06,20
2011-07,26
2011-08,27
2011-09,25
2011-10,27
2011-11,14
2011-12,16
2012-01,23
2012-02,31
2012-03,24
2012-04,26
2012-05,19
2012-06,10
2012-07,21
2012-08,21
2012-09,18
2012-10,30
2012-11,22
2012-12,11
2013-01,20
2013-02,20
2013-03,19
2013-04,23
2013-05,23
2013-06,20
2013-07,13
2013-08,21
2013-09,21
2013-10,19
2013-11,25
2013-12,26
2014-01,28
2014-02,18
2014-03,17
2014-04,13
2014-05,18
2014-06,17
2014-07,16
2014-08,26
2014-09,20
2014-10,16
2014-11,19
2014-12,19
2015-01,24
2015-02,28
2015-03,22
2015-04,29
2015-05,25
2015-06,19
2015-07,18
2015-08,17
2015-09,20
2015-10,21
2015-11,19
2015-12,13
2016-01,17
2016-02,22
2016-03,30
2016-04,31
2016-05,28
2016-06,26
2016-07,20
2016-08,22
2016-09,25
2016-10,100
2016-11,56
2016-12,40
2017-01,29
2017-02,33
2017-03,29
2017-04,34
2017-05,29
2017-06,27
2017-07,36
2017-08,19
2017-09,31
2017-10,22
2017-11,26
2017-12,23
2018-01,29
2018-02,31
2018-03,32
2018-04,26
2018-05,23
2018-06,22
2018-07,22
2018-08,29
2018-09,21
2018-10,30
