Category: All categories

Month,reef disease: (Worldwide)
2004-01,61
2004-02,61
2004-03,75
2004-04,58
2004-05,50
2004-06,100
2004-07,53
2004-08,49
2004-09,45
2004-10,46
2004-11,46
2004-12,0
2005-01,74
2005-02,39
2005-03,33
2005-04,74
2005-05,97
2005-06,49
2005-07,0
2005-08,32
2005-09,44
2005-10,41
2005-11,68
2005-12,26
2006-01,47
2006-02,48
2006-03,41
2006-04,45
2006-05,61
2006-06,75
2006-07,22
2006-08,20
2006-09,37
2006-10,17
2006-11,17
2006-12,17
2007-01,46
2007-02,16
2007-03,28
2007-04,22
2007-05,44
2007-06,13
2007-07,25
2007-08,18
2007-09,18
2007-10,16
2007-11,20
2007-12,22
2008-01,15
2008-02,50
2008-03,19
2008-04,32
2008-05,14
2008-06,46
2008-07,27
2008-08,14
2008-09,8
2008-10,15
2008-11,40
2008-12,20
2009-01,11
2009-02,23
2009-03,27
2009-04,14
2009-05,34
2009-06,26
2009-07,13
2009-08,17
2009-09,19
2009-10,26
2009-11,15
2009-12,6
2010-01,14
2010-02,26
2010-03,20
2010-04,19
2010-05,11
2010-06,8
2010-07,18
2010-08,17
2010-09,9
2010-10,20
2010-11,17
2010-12,15
2011-01,18
2011-02,13
2011-03,25
2011-04,20
2011-05,11
2011-06,12
2011-07,6
2011-08,11
2011-09,18
2011-10,12
2011-11,22
2011-12,10
2012-01,11
2012-02,11
2012-03,17
2012-04,12
2012-05,10
2012-06,15
2012-07,12
2012-08,13
2012-09,10
2012-10,14
2012-11,16
2012-12,12
2013-01,10
2013-02,23
2013-03,17
2013-04,14
2013-05,17
2013-06,19
2013-07,11
2013-08,13
2013-09,14
2013-10,15
2013-11,16
2013-12,15
2014-01,13
2014-02,15
2014-03,22
2014-04,23
2014-05,15
2014-06,8
2014-07,12
2014-08,13
2014-09,11
2014-10,15
2014-11,9
2014-12,10
2015-01,12
2015-02,10
2015-03,17
2015-04,19
2015-05,15
2015-06,15
2015-07,11
2015-08,12
2015-09,17
2015-10,16
2015-11,16
2015-12,10
2016-01,12
2016-02,18
2016-03,22
2016-04,20
2016-05,17
2016-06,12
2016-07,11
2016-08,16
2016-09,11
2016-10,24
2016-11,14
2016-12,18
2017-01,18
2017-02,17
2017-03,15
2017-04,30
2017-05,21
2017-06,10
2017-07,12
2017-08,15
2017-09,14
2017-10,12
2017-11,25
2017-12,9
2018-01,10
2018-02,17
2018-03,23
2018-04,19
2018-05,19
2018-06,11
2018-07,14
2018-08,8
2018-09,13
2018-10,22
