Category: All categories

Month,reef diving: (Worldwide)
2004-01,100
2004-02,61
2004-03,89
2004-04,47
2004-05,61
2004-06,41
2004-07,60
2004-08,69
2004-09,66
2004-10,48
2004-11,54
2004-12,39
2005-01,54
2005-02,55
2005-03,65
2005-04,56
2005-05,72
2005-06,42
2005-07,55
2005-08,48
2005-09,54
2005-10,38
2005-11,46
2005-12,45
2006-01,58
2006-02,62
2006-03,47
2006-04,47
2006-05,40
2006-06,45
2006-07,33
2006-08,48
2006-09,42
2006-10,36
2006-11,42
2006-12,21
2007-01,44
2007-02,42
2007-03,40
2007-04,45
2007-05,37
2007-06,47
2007-07,35
2007-08,29
2007-09,40
2007-10,33
2007-11,27
2007-12,33
2008-01,47
2008-02,44
2008-03,43
2008-04,34
2008-05,35
2008-06,38
2008-07,26
2008-08,29
2008-09,34
2008-10,33
2008-11,28
2008-12,25
2009-01,35
2009-02,26
2009-03,33
2009-04,33
2009-05,30
2009-06,33
2009-07,28
2009-08,29
2009-09,31
2009-10,30
2009-11,28
2009-12,22
2010-01,30
2010-02,21
2010-03,28
2010-04,25
2010-05,28
2010-06,30
2010-07,30
2010-08,31
2010-09,26
2010-10,27
2010-11,22
2010-12,20
2011-01,29
2011-02,23
2011-03,23
2011-04,23
2011-05,26
2011-06,27
2011-07,22
2011-08,22
2011-09,22
2011-10,23
2011-11,20
2011-12,18
2012-01,27
2012-02,25
2012-03,26
2012-04,23
2012-05,24
2012-06,19
2012-07,25
2012-08,26
2012-09,23
2012-10,19
2012-11,19
2012-12,20
2013-01,22
2013-02,22
2013-03,23
2013-04,22
2013-05,23
2013-06,22
2013-07,24
2013-08,21
2013-09,18
2013-10,20
2013-11,19
2013-12,19
2014-01,24
2014-02,19
2014-03,21
2014-04,21
2014-05,22
2014-06,19
2014-07,22
2014-08,22
2014-09,23
2014-10,19
2014-11,20
2014-12,18
2015-01,23
2015-02,20
2015-03,22
2015-04,21
2015-05,21
2015-06,21
2015-07,23
2015-08,20
2015-09,17
2015-10,18
2015-11,19
2015-12,19
2016-01,27
2016-02,22
2016-03,23
2016-04,22
2016-05,25
2016-06,22
2016-07,22
2016-08,19
2016-09,18
2016-10,20
2016-11,20
2016-12,17
2017-01,23
2017-02,22
2017-03,21
2017-04,20
2017-05,21
2017-06,18
2017-07,21
2017-08,17
2017-09,19
2017-10,20
2017-11,19
2017-12,18
2018-01,23
2018-02,22
2018-03,20
2018-04,19
2018-05,20
2018-06,18
2018-07,18
2018-08,21
2018-09,19
2018-10,16
