Category: All categories

Month,reef scuba: (Worldwide)
2004-01,96
2004-02,86
2004-03,71
2004-04,55
2004-05,43
2004-06,83
2004-07,100
2004-08,77
2004-09,71
2004-10,47
2004-11,44
2004-12,44
2005-01,56
2005-02,59
2005-03,62
2005-04,62
2005-05,56
2005-06,41
2005-07,47
2005-08,50
2005-09,55
2005-10,48
2005-11,56
2005-12,40
2006-01,48
2006-02,40
2006-03,45
2006-04,39
2006-05,44
2006-06,56
2006-07,64
2006-08,69
2006-09,34
2006-10,33
2006-11,44
2006-12,27
2007-01,37
2007-02,33
2007-03,41
2007-04,31
2007-05,59
2007-06,40
2007-07,45
2007-08,33
2007-09,27
2007-10,37
2007-11,31
2007-12,37
2008-01,39
2008-02,26
2008-03,38
2008-04,45
2008-05,32
2008-06,38
2008-07,24
2008-08,35
2008-09,38
2008-10,34
2008-11,33
2008-12,32
2009-01,37
2009-02,29
2009-03,29
2009-04,24
2009-05,33
2009-06,25
2009-07,29
2009-08,31
2009-09,22
2009-10,25
2009-11,30
2009-12,27
2010-01,30
2010-02,26
2010-03,33
2010-04,30
2010-05,27
2010-06,21
2010-07,29
2010-08,24
2010-09,26
2010-10,28
2010-11,28
2010-12,17
2011-01,25
2011-02,22
2011-03,26
2011-04,25
2011-05,28
2011-06,25
2011-07,26
2011-08,21
2011-09,25
2011-10,24
2011-11,16
2011-12,19
2012-01,25
2012-02,22
2012-03,22
2012-04,24
2012-05,25
2012-06,22
2012-07,22
2012-08,22
2012-09,26
2012-10,17
2012-11,21
2012-12,15
2013-01,23
2013-02,22
2013-03,22
2013-04,20
2013-05,20
2013-06,21
2013-07,23
2013-08,24
2013-09,19
2013-10,18
2013-11,19
2013-12,22
2014-01,20
2014-02,18
2014-03,22
2014-04,19
2014-05,20
2014-06,20
2014-07,20
2014-08,17
2014-09,17
2014-10,17
2014-11,19
2014-12,19
2015-01,22
2015-02,19
2015-03,17
2015-04,21
2015-05,22
2015-06,20
2015-07,20
2015-08,20
2015-09,17
2015-10,17
2015-11,19
2015-12,20
2016-01,21
2016-02,20
2016-03,23
2016-04,24
2016-05,22
2016-06,22
2016-07,19
2016-08,16
2016-09,19
2016-10,15
2016-11,21
2016-12,19
2017-01,22
2017-02,21
2017-03,20
2017-04,22
2017-05,20
2017-06,20
2017-07,23
2017-08,19
2017-09,18
2017-10,20
2017-11,18
2017-12,18
2018-01,21
2018-02,20
2018-03,24
2018-04,19
2018-05,22
2018-06,19
2018-07,19
2018-08,22
2018-09,19
2018-10,15
