Category: All categories

Month,reef: (Worldwide)
2004-01,84
2004-02,97
2004-03,100
2004-04,87
2004-05,87
2004-06,82
2004-07,75
2004-08,78
2004-09,71
2004-10,70
2004-11,65
2004-12,61
2005-01,78
2005-02,92
2005-03,88
2005-04,78
2005-05,86
2005-06,79
2005-07,78
2005-08,75
2005-09,63
2005-10,66
2005-11,64
2005-12,55
2006-01,70
2006-02,72
2006-03,69
2006-04,70
2006-05,71
2006-06,71
2006-07,72
2006-08,66
2006-09,61
2006-10,55
2006-11,55
2006-12,49
2007-01,61
2007-02,63
2007-03,61
2007-04,61
2007-05,64
2007-06,61
2007-07,60
2007-08,57
2007-09,53
2007-10,53
2007-11,50
2007-12,47
2008-01,54
2008-02,54
2008-03,55
2008-04,56
2008-05,58
2008-06,55
2008-07,54
2008-08,51
2008-09,48
2008-10,47
2008-11,45
2008-12,44
2009-01,62
2009-02,53
2009-03,54
2009-04,53
2009-05,55
2009-06,51
2009-07,52
2009-08,50
2009-09,45
2009-10,44
2009-11,44
2009-12,39
2010-01,48
2010-02,48
2010-03,50
2010-04,54
2010-05,50
2010-06,47
2010-07,48
2010-08,48
2010-09,41
2010-10,41
2010-11,44
2010-12,40
2011-01,46
2011-02,48
2011-03,46
2011-04,44
2011-05,47
2011-06,48
2011-07,45
2011-08,45
2011-09,41
2011-10,40
2011-11,40
2011-12,39
2012-01,46
2012-02,44
2012-03,45
2012-04,43
2012-05,45
2012-06,44
2012-07,45
2012-08,43
2012-09,44
2012-10,39
2012-11,38
2012-12,36
2013-01,44
2013-02,45
2013-03,45
2013-04,44
2013-05,44
2013-06,44
2013-07,46
2013-08,43
2013-09,38
2013-10,36
2013-11,38
2013-12,36
2014-01,40
2014-02,43
2014-03,43
2014-04,41
2014-05,42
2014-06,41
2014-07,42
2014-08,40
2014-09,37
2014-10,35
2014-11,36
2014-12,34
2015-01,37
2015-02,38
2015-03,40
2015-04,40
2015-05,40
2015-06,39
2015-07,41
2015-08,39
2015-09,35
2015-10,35
2015-11,35
2015-12,35
2016-01,39
2016-02,38
2016-03,41
2016-04,40
2016-05,41
2016-06,40
2016-07,39
2016-08,37
2016-09,35
2016-10,51
2016-11,36
2016-12,35
2017-01,38
2017-02,38
2017-03,42
2017-04,40
2017-05,39
2017-06,39
2017-07,43
2017-08,37
2017-09,36
2017-10,34
2017-11,35
2017-12,33
2018-01,37
2018-02,37
2018-03,38
2018-04,40
2018-05,39
2018-06,37
2018-07,38
2018-08,39
2018-09,35
2018-10,33
