Category: All categories

Month,scuba diving in florida keys: (Worldwide)
2004-01,100
2004-02,25
2004-03,30
2004-04,24
2004-05,0
2004-06,21
2004-07,0
2004-08,20
2004-09,0
2004-10,19
2004-11,0
2004-12,17
2005-01,15
2005-02,16
2005-03,13
2005-04,15
2005-05,0
2005-06,0
2005-07,20
2005-08,26
2005-09,12
2005-10,0
2005-11,17
2005-12,0
2006-01,0
2006-02,10
2006-03,17
2006-04,0
2006-05,0
2006-06,9
2006-07,9
2006-08,8
2006-09,0
2006-10,7
2006-11,7
2006-12,7
2007-01,6
2007-02,6
2007-03,9
2007-04,6
2007-05,5
2007-06,8
2007-07,5
2007-08,5
2007-09,5
2007-10,0
2007-11,8
2007-12,9
2008-01,4
2008-02,10
2008-03,6
2008-04,9
2008-05,7
2008-06,15
2008-07,11
2008-08,6
2008-09,5
2008-10,6
2008-11,0
2008-12,10
2009-01,3
2009-02,16
2009-03,4
2009-04,4
2009-05,3
2009-06,8
2009-07,3
2009-08,5
2009-09,5
2009-10,2
2009-11,5
2009-12,2
2010-01,8
2010-02,5
2010-03,11
2010-04,3
2010-05,4
2010-06,4
2010-07,6
2010-08,5
2010-09,4
2010-10,4
2010-11,5
2010-12,2
2011-01,3
2011-02,10
2011-03,5
2011-04,3
2011-05,2
2011-06,7
2011-07,6
2011-08,6
2011-09,3
2011-10,2
2011-11,3
2011-12,4
2012-01,3
2012-02,5
2012-03,2
2012-04,5
2012-05,2
2012-06,6
2012-07,1
2012-08,4
2012-09,5
2012-10,5
2012-11,1
2012-12,2
2013-01,3
2013-02,4
2013-03,5
2013-04,5
2013-05,4
2013-06,6
2013-07,5
2013-08,3
2013-09,5
2013-10,4
2013-11,5
2013-12,4
2014-01,2
2014-02,3
2014-03,3
2014-04,4
2014-05,4
2014-06,6
2014-07,2
2014-08,3
2014-09,2
2014-10,3
2014-11,5
2014-12,1
2015-01,5
2015-02,4
2015-03,5
2015-04,3
2015-05,3
2015-06,5
2015-07,3
2015-08,3
2015-09,2
2015-10,1
2015-11,3
2015-12,2
2016-01,4
2016-02,2
2016-03,5
2016-04,3
2016-05,5
2016-06,2
2016-07,3
2016-08,2
2016-09,1
2016-10,3
2016-11,2
2016-12,3
2017-01,4
2017-02,3
2017-03,3
2017-04,3
2017-05,4
2017-06,3
2017-07,3
2017-08,3
2017-09,2
2017-10,3
2017-11,3
2017-12,4
2018-01,2
2018-02,2
2018-03,2
2018-04,3
2018-05,3
2018-06,4
2018-07,4
2018-08,3
2018-09,2
2018-10,3
