Category: All categories

Month,the great barrier reef is dying: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,34
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,31
2007-06,49
2007-07,0
2007-08,15
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,9
2008-11,0
2008-12,0
2009-01,9
2009-02,0
2009-03,0
2009-04,9
2009-05,17
2009-06,0
2009-07,0
2009-08,8
2009-09,15
2009-10,7
2009-11,7
2009-12,0
2010-01,0
2010-02,0
2010-03,6
2010-04,0
2010-05,0
2010-06,7
2010-07,0
2010-08,6
2010-09,0
2010-10,0
2010-11,0
2010-12,5
2011-01,0
2011-02,0
2011-03,14
2011-04,5
2011-05,5
2011-06,5
2011-07,0
2011-08,0
2011-09,4
2011-10,4
2011-11,0
2011-12,4
2012-01,8
2012-02,0
2012-03,0
2012-04,4
2012-05,4
2012-06,0
2012-07,0
2012-08,0
2012-09,11
2012-10,5
2012-11,3
2012-12,3
2013-01,3
2013-02,3
2013-03,5
2013-04,5
2013-05,3
2013-06,5
2013-07,3
2013-08,3
2013-09,4
2013-10,7
2013-11,6
2013-12,0
2014-01,3
2014-02,9
2014-03,8
2014-04,4
2014-05,4
2014-06,0
2014-07,0
2014-08,0
2014-09,3
2014-10,5
2014-11,4
2014-12,3
2015-01,2
2015-02,0
2015-03,2
2015-04,5
2015-05,6
2015-06,5
2015-07,5
2015-08,2
2015-09,2
2015-10,3
2015-11,2
2015-12,6
2016-01,7
2016-02,0
2016-03,8
2016-04,12
2016-05,14
2016-06,12
2016-07,6
2016-08,16
2016-09,15
2016-10,100
2016-11,29
2016-12,23
2017-01,22
2017-02,36
2017-03,26
2017-04,47
2017-05,31
2017-06,23
2017-07,28
2017-08,15
2017-09,15
2017-10,25
2017-11,29
2017-12,7
2018-01,18
2018-02,19
2018-03,29
2018-04,34
2018-05,34
2018-06,25
2018-07,16
2018-08,26
2018-09,31
2018-10,19
