Category: All categories

Month,the great coral reef dead: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,62
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,40
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,31
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,25
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,22
2009-04,23
2009-05,22
2009-06,22
2009-07,0
2009-08,0
2009-09,21
2009-10,0
2009-11,0
2009-12,19
2010-01,0
2010-02,19
2010-03,17
2010-04,18
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,15
2010-11,0
2010-12,0
2011-01,0
2011-02,14
2011-03,13
2011-04,0
2011-05,13
2011-06,13
2011-07,0
2011-08,0
2011-09,12
2011-10,11
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,10
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,9
2012-11,0
2012-12,0
2013-01,8
2013-02,9
2013-03,0
2013-04,0
2013-05,8
2013-06,0
2013-07,8
2013-08,8
2013-09,0
2013-10,0
2013-11,0
2013-12,8
2014-01,7
2014-02,8
2014-03,7
2014-04,0
2014-05,7
2014-06,8
2014-07,0
2014-08,0
2014-09,7
2014-10,7
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,7
2015-04,7
2015-05,7
2015-06,0
2015-07,0
2015-08,6
2015-09,0
2015-10,6
2015-11,6
2015-12,0
2016-01,6
2016-02,0
2016-03,13
2016-04,13
2016-05,0
2016-06,20
2016-07,7
2016-08,17
2016-09,20
2016-10,100
2016-11,67
2016-12,41
2017-01,39
2017-02,29
2017-03,40
2017-04,34
2017-05,36
2017-06,13
2017-07,63
2017-08,12
2017-09,19
2017-10,32
2017-11,35
2017-12,36
2018-01,14
2018-02,18
2018-03,30
2018-04,34
2018-05,36
2018-06,6
2018-07,8
2018-08,19
2018-09,22
2018-10,0
