Category: All categories

Month,what is a coral reef ecosystem: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,65
2006-12,0
2007-01,59
2007-02,61
2007-03,53
2007-04,0
2007-05,0
2007-06,100
2007-07,0
2007-08,47
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,37
2008-02,0
2008-03,0
2008-04,35
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,32
2008-10,29
2008-11,0
2008-12,30
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,26
2009-07,0
2009-08,26
2009-09,72
2009-10,23
2009-11,45
2009-12,23
2010-01,21
2010-02,22
2010-03,19
2010-04,0
2010-05,31
2010-06,21
2010-07,20
2010-08,19
2010-09,0
2010-10,52
2010-11,17
2010-12,17
2011-01,23
2011-02,16
2011-03,22
2011-04,39
2011-05,22
2011-06,45
2011-07,15
2011-08,14
2011-09,28
2011-10,20
2011-11,53
2011-12,0
2012-01,30
2012-02,50
2012-03,12
2012-04,18
2012-05,29
2012-06,35
2012-07,17
2012-08,34
2012-09,29
2012-10,42
2012-11,10
2012-12,10
2013-01,24
2013-02,36
2013-03,14
2013-04,38
2013-05,41
2013-06,19
2013-07,0
2013-08,19
2013-09,23
2013-10,35
2013-11,48
2013-12,17
2014-01,33
2014-02,40
2014-03,40
2014-04,46
2014-05,50
2014-06,19
2014-07,18
2014-08,9
2014-09,17
2014-10,21
2014-11,30
2014-12,38
2015-01,23
2015-02,38
2015-03,50
2015-04,20
2015-05,35
2015-06,20
2015-07,8
2015-08,23
2015-09,26
2015-10,35
2015-11,58
2015-12,18
2016-01,15
2016-02,39
2016-03,36
2016-04,53
2016-05,37
2016-06,23
2016-07,8
2016-08,0
2016-09,27
2016-10,26
2016-11,30
2016-12,15
2017-01,42
2017-02,26
2017-03,36
2017-04,46
2017-05,67
2017-06,26
2017-07,7
2017-08,7
2017-09,32
2017-10,34
2017-11,62
2017-12,21
2018-01,23
2018-02,50
2018-03,41
2018-04,50
2018-05,39
2018-06,13
2018-07,6
2018-08,13
2018-09,36
2018-10,0
