Category: All categories

Month,what is coral bleaching great barrier reef: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,97
2004-10,100
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,70
2005-07,0
2005-08,0
2005-09,63
2005-10,0
2005-11,59
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,44
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,60
2007-04,0
2007-05,27
2007-06,0
2007-07,0
2007-08,26
2007-09,0
2007-10,23
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,20
2008-04,0
2008-05,20
2008-06,0
2008-07,0
2008-08,0
2008-09,18
2008-10,17
2008-11,17
2008-12,17
2009-01,0
2009-02,16
2009-03,15
2009-04,0
2009-05,22
2009-06,21
2009-07,14
2009-08,21
2009-09,13
2009-10,0
2009-11,13
2009-12,0
2010-01,12
2010-02,12
2010-03,11
2010-04,12
2010-05,17
2010-06,12
2010-07,0
2010-08,0
2010-09,25
2010-10,14
2010-11,9
2010-12,0
2011-01,0
2011-02,9
2011-03,12
2011-04,18
2011-05,25
2011-06,8
2011-07,8
2011-08,8
2011-09,8
2011-10,18
2011-11,0
2011-12,0
2012-01,0
2012-02,7
2012-03,6
2012-04,7
2012-05,13
2012-06,13
2012-07,6
2012-08,13
2012-09,19
2012-10,20
2012-11,21
2012-12,0
2013-01,5
2013-02,6
2013-03,10
2013-04,0
2013-05,8
2013-06,5
2013-07,5
2013-08,21
2013-09,5
2013-10,7
2013-11,5
2013-12,0
2014-01,7
2014-02,10
2014-03,18
2014-04,5
2014-05,9
2014-06,5
2014-07,5
2014-08,15
2014-09,10
2014-10,12
2014-11,14
2014-12,9
2015-01,4
2015-02,12
2015-03,15
2015-04,4
2015-05,17
2015-06,13
2015-07,4
2015-08,0
2015-09,8
2015-10,10
2015-11,14
2015-12,6
2016-01,8
2016-02,18
2016-03,10
2016-04,21
2016-05,25
2016-06,17
2016-07,18
2016-08,16
2016-09,11
2016-10,86
2016-11,31
2016-12,25
2017-01,14
2017-02,15
2017-03,48
2017-04,28
2017-05,29
2017-06,15
2017-07,18
2017-08,22
2017-09,36
2017-10,23
2017-11,19
2017-12,17
2018-01,16
2018-02,36
2018-03,23
2018-04,21
2018-05,36
2018-06,15
2018-07,7
2018-08,25
2018-09,27
2018-10,40
