Category: All categories

Month,what is coral bleaching: (Worldwide)
2004-01,0
2004-02,44
2004-03,0
2004-04,42
2004-05,37
2004-06,0
2004-07,39
2004-08,36
2004-09,33
2004-10,0
2004-11,100
2004-12,31
2005-01,0
2005-02,57
2005-03,24
2005-04,54
2005-05,0
2005-06,24
2005-07,0
2005-08,0
2005-09,21
2005-10,20
2005-11,60
2005-12,19
2006-01,0
2006-02,27
2006-03,37
2006-04,33
2006-05,37
2006-06,0
2006-07,16
2006-08,29
2006-09,0
2006-10,38
2006-11,75
2006-12,13
2007-01,11
2007-02,18
2007-03,41
2007-04,43
2007-05,32
2007-06,14
2007-07,9
2007-08,18
2007-09,13
2007-10,23
2007-11,19
2007-12,12
2008-01,7
2008-02,14
2008-03,7
2008-04,20
2008-05,10
2008-06,27
2008-07,13
2008-08,10
2008-09,9
2008-10,25
2008-11,29
2008-12,15
2009-01,5
2009-02,22
2009-03,25
2009-04,21
2009-05,25
2009-06,7
2009-07,7
2009-08,15
2009-09,18
2009-10,34
2009-11,32
2009-12,17
2010-01,6
2010-02,6
2010-03,24
2010-04,12
2010-05,37
2010-06,12
2010-07,4
2010-08,16
2010-09,15
2010-10,21
2010-11,8
2010-12,16
2011-01,19
2011-02,16
2011-03,18
2011-04,31
2011-05,22
2011-06,13
2011-07,6
2011-08,7
2011-09,12
2011-10,20
2011-11,26
2011-12,9
2012-01,7
2012-02,25
2012-03,22
2012-04,24
2012-05,29
2012-06,11
2012-07,5
2012-08,12
2012-09,17
2012-10,30
2012-11,39
2012-12,19
2013-01,20
2013-02,36
2013-03,30
2013-04,29
2013-05,33
2013-06,12
2013-07,11
2013-08,13
2013-09,16
2013-10,24
2013-11,30
2013-12,17
2014-01,15
2014-02,26
2014-03,36
2014-04,32
2014-05,29
2014-06,11
2014-07,3
2014-08,11
2014-09,18
2014-10,23
2014-11,29
2014-12,20
2015-01,13
2015-02,24
2015-03,28
2015-04,34
2015-05,36
2015-06,13
2015-07,8
2015-08,8
2015-09,18
2015-10,37
2015-11,42
2015-12,25
2016-01,13
2016-02,24
2016-03,24
2016-04,53
2016-05,50
2016-06,32
2016-07,15
2016-08,16
2016-09,25
2016-10,78
2016-11,55
2016-12,44
2017-01,23
2017-02,52
2017-03,58
2017-04,78
2017-05,56
2017-06,24
2017-07,24
2017-08,22
2017-09,44
2017-10,54
2017-11,60
2017-12,33
2018-01,30
2018-02,54
2018-03,48
2018-04,57
2018-05,70
2018-06,33
2018-07,12
2018-08,30
2018-09,42
2018-10,53
