Category: All categories

Month,what is the great barrier reef: (Worldwide)
2004-01,37
2004-02,91
2004-03,79
2004-04,78
2004-05,90
2004-06,60
2004-07,16
2004-08,59
2004-09,47
2004-10,83
2004-11,48
2004-12,45
2005-01,11
2005-02,100
2005-03,44
2005-04,39
2005-05,63
2005-06,73
2005-07,20
2005-08,48
2005-09,43
2005-10,49
2005-11,49
2005-12,20
2006-01,25
2006-02,25
2006-03,58
2006-04,47
2006-05,58
2006-06,29
2006-07,13
2006-08,21
2006-09,57
2006-10,23
2006-11,35
2006-12,16
2007-01,11
2007-02,19
2007-03,37
2007-04,31
2007-05,49
2007-06,16
2007-07,21
2007-08,24
2007-09,30
2007-10,14
2007-11,32
2007-12,17
2008-01,12
2008-02,28
2008-03,41
2008-04,32
2008-05,46
2008-06,38
2008-07,11
2008-08,18
2008-09,34
2008-10,35
2008-11,36
2008-12,17
2009-01,17
2009-02,24
2009-03,47
2009-04,45
2009-05,60
2009-06,34
2009-07,22
2009-08,24
2009-09,36
2009-10,48
2009-11,34
2009-12,18
2010-01,22
2010-02,33
2010-03,60
2010-04,52
2010-05,60
2010-06,27
2010-07,28
2010-08,34
2010-09,34
2010-10,38
2010-11,32
2010-12,20
2011-01,30
2011-02,35
2011-03,58
2011-04,41
2011-05,54
2011-06,39
2011-07,25
2011-08,38
2011-09,41
2011-10,38
2011-11,54
2011-12,24
2012-01,29
2012-02,41
2012-03,49
2012-04,42
2012-05,62
2012-06,42
2012-07,24
2012-08,33
2012-09,47
2012-10,51
2012-11,41
2012-12,25
2013-01,28
2013-02,35
2013-03,47
2013-04,43
2013-05,56
2013-06,33
2013-07,22
2013-08,31
2013-09,46
2013-10,45
2013-11,50
2013-12,25
2014-01,25
2014-02,36
2014-03,56
2014-04,38
2014-05,61
2014-06,33
2014-07,21
2014-08,38
2014-09,46
2014-10,48
2014-11,42
2014-12,21
2015-01,26
2015-02,49
2015-03,62
2015-04,42
2015-05,63
2015-06,42
2015-07,25
2015-08,49
2015-09,45
2015-10,50
2015-11,45
2015-12,26
2016-01,29
2016-02,33
2016-03,48
2016-04,51
2016-05,62
2016-06,39
2016-07,25
2016-08,39
2016-09,41
2016-10,81
2016-11,56
2016-12,37
2017-01,28
2017-02,49
2017-03,65
2017-04,51
2017-05,71
2017-06,72
2017-07,34
2017-08,50
2017-09,43
2017-10,52
2017-11,57
2017-12,31
2018-01,35
2018-02,53
2018-03,54
2018-04,60
2018-05,73
2018-06,38
2018-07,23
2018-08,48
2018-09,56
2018-10,34
