Category: All categories

Month,where are coral reefs found: (Worldwide)
2004-01,40
2004-02,0
2004-03,100
2004-04,0
2004-05,49
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,46
2004-11,61
2004-12,56
2005-01,24
2005-02,0
2005-03,22
2005-04,25
2005-05,21
2005-06,22
2005-07,0
2005-08,21
2005-09,0
2005-10,0
2005-11,36
2005-12,26
2006-01,31
2006-02,16
2006-03,20
2006-04,44
2006-05,14
2006-06,28
2006-07,14
2006-08,0
2006-09,0
2006-10,34
2006-11,11
2006-12,11
2007-01,10
2007-02,0
2007-03,0
2007-04,10
2007-05,12
2007-06,9
2007-07,0
2007-08,16
2007-09,12
2007-10,7
2007-11,0
2007-12,7
2008-01,13
2008-02,26
2008-03,6
2008-04,18
2008-05,12
2008-06,12
2008-07,6
2008-08,9
2008-09,11
2008-10,15
2008-11,32
2008-12,8
2009-01,12
2009-02,13
2009-03,7
2009-04,9
2009-05,18
2009-06,17
2009-07,4
2009-08,13
2009-09,6
2009-10,15
2009-11,21
2009-12,10
2010-01,20
2010-02,13
2010-03,15
2010-04,21
2010-05,21
2010-06,7
2010-07,7
2010-08,6
2010-09,15
2010-10,12
2010-11,17
2010-12,12
2011-01,16
2011-02,13
2011-03,13
2011-04,9
2011-05,16
2011-06,8
2011-07,3
2011-08,2
2011-09,17
2011-10,13
2011-11,21
2011-12,6
2012-01,9
2012-02,15
2012-03,15
2012-04,11
2012-05,20
2012-06,7
2012-07,5
2012-08,4
2012-09,15
2012-10,11
2012-11,14
2012-12,7
2013-01,13
2013-02,17
2013-03,23
2013-04,16
2013-05,13
2013-06,6
2013-07,3
2013-08,4
2013-09,13
2013-10,18
2013-11,15
2013-12,8
2014-01,10
2014-02,17
2014-03,18
2014-04,17
2014-05,20
2014-06,6
2014-07,3
2014-08,5
2014-09,7
2014-10,10
2014-11,9
2014-12,9
2015-01,8
2015-02,10
2015-03,16
2015-04,13
2015-05,14
2015-06,3
2015-07,3
2015-08,3
2015-09,14
2015-10,8
2015-11,11
2015-12,9
2016-01,8
2016-02,9
2016-03,16
2016-04,15
2016-05,7
2016-06,6
2016-07,1
2016-08,3
2016-09,14
2016-10,10
2016-11,13
2016-12,9
2017-01,14
2017-02,16
2017-03,15
2017-04,10
2017-05,19
2017-06,7
2017-07,4
2017-08,5
2017-09,13
2017-10,17
2017-11,16
2017-12,11
2018-01,12
2018-02,13
2018-03,21
2018-04,16
2018-05,21
2018-06,6
2018-07,3
2018-08,4
2018-09,12
2018-10,6
