Category: All categories

Month,why is the great barrier reef dying: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,61
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,48
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,37
2007-05,32
2007-06,100
2007-07,0
2007-08,31
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,18
2009-02,0
2009-03,0
2009-04,18
2009-05,17
2009-06,0
2009-07,0
2009-08,0
2009-09,16
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,13
2010-04,14
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,11
2011-03,0
2011-04,0
2011-05,10
2011-06,20
2011-07,0
2011-08,9
2011-09,9
2011-10,9
2011-11,0
2011-12,9
2012-01,0
2012-02,0
2012-03,0
2012-04,8
2012-05,7
2012-06,0
2012-07,8
2012-08,11
2012-09,0
2012-10,0
2012-11,7
2012-12,0
2013-01,6
2013-02,0
2013-03,6
2013-04,9
2013-05,9
2013-06,6
2013-07,6
2013-08,0
2013-09,6
2013-10,6
2013-11,6
2013-12,6
2014-01,0
2014-02,0
2014-03,5
2014-04,16
2014-05,5
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,10
2015-02,0
2015-03,5
2015-04,10
2015-05,13
2015-06,8
2015-07,5
2015-08,5
2015-09,5
2015-10,7
2015-11,5
2015-12,10
2016-01,0
2016-02,5
2016-03,5
2016-04,5
2016-05,15
2016-06,15
2016-07,8
2016-08,16
2016-09,10
2016-10,89
2016-11,32
2016-12,12
2017-01,12
2017-02,40
2017-03,41
2017-04,33
2017-05,30
2017-06,22
2017-07,31
2017-08,21
2017-09,17
2017-10,18
2017-11,25
2017-12,11
2018-01,19
2018-02,19
2018-03,29
2018-04,24
2018-05,47
2018-06,20
2018-07,15
2018-08,19
2018-09,32
2018-10,32
