Month,bleached coral: (Worldwide),bleached reef: (Worldwide),reef bleaching: (Worldwide),coral reef bleaching: (Worldwide),coral bleaching: (Worldwide),bleached coral reefs: (Worldwide),coral reef bleached: (Worldwide),what is coral bleaching: (Worldwide),what causes coral bleaching: (Worldwide),coral bleaching effects: (Worldwide),coral bleaching facts: (Worldwide),coral bleaching and global warming: (Worldwide),coral bleaching and climate change: (Worldwide)
2004-01,21,0,30,36,51,0,0,0,0,0,0,0,0
2004-02,21,0,37,36,44,0,0,44,0,0,0,0,0
2004-03,78,0,100,100,100,100,100,0,0,100,0,100,0
2004-04,0,0,35,17,45,0,0,42,0,39,0,0,77
2004-05,17,0,66,59,55,0,0,37,0,34,100,66,0
2004-06,17,0,30,30,28,0,0,0,0,0,0,0,0
2004-07,0,100,19,23,26,0,70,39,0,0,0,0,0
2004-08,17,0,82,51,38,0,0,36,0,0,0,0,0
2004-09,15,0,44,40,25,60,0,33,0,0,0,0,0
2004-10,0,0,78,61,54,0,0,0,0,31,0,0,0
2004-11,48,0,56,54,61,62,62,100,0,31,0,0,0
2004-12,0,0,41,38,54,0,0,31,0,28,0,57,57
2005-01,13,0,14,17,41,50,0,0,0,25,0,50,100
2005-02,14,0,14,17,44,52,0,57,0,0,0,52,0
2005-03,23,0,36,49,33,0,44,24,0,0,0,0,44
2005-04,13,0,77,72,58,0,50,54,0,0,0,0,0
2005-05,11,0,35,14,43,0,0,0,0,22,65,0,0
2005-06,11,62,28,19,27,0,0,24,0,22,0,0,0
2005-07,0,0,24,15,22,0,0,0,0,22,0,0,0
2005-08,0,0,27,28,14,0,0,0,0,21,0,42,0
2005-09,10,55,25,21,39,39,38,21,0,19,0,0,0
2005-10,0,0,37,45,50,0,0,20,0,18,0,0,0
2005-11,9,52,20,32,54,0,0,60,89,18,0,36,0
2005-12,18,0,10,27,22,0,0,19,0,18,0,0,36
2006-01,8,0,20,28,27,0,0,0,0,16,0,0,0
2006-02,8,0,50,39,42,0,0,27,79,49,0,0,0
2006-03,14,39,42,55,61,0,28,37,0,34,41,27,27
2006-04,8,0,46,47,82,0,0,33,0,30,45,30,0
2006-05,11,0,40,45,57,27,27,37,67,14,0,0,0
2006-06,11,41,10,22,23,29,29,0,0,14,0,28,0
2006-07,0,0,16,19,17,0,0,16,0,0,43,0,0
2006-08,0,0,19,6,32,0,0,29,0,0,0,0,0
2006-09,6,37,28,28,32,0,26,0,0,13,0,0,26
2006-10,12,33,25,23,39,0,23,38,57,23,0,23,23
2006-11,9,0,45,42,60,0,0,75,0,11,0,45,0
2006-12,6,0,17,21,20,0,23,13,0,23,0,47,23
2007-01,5,29,24,20,29,0,20,11,100,10,0,0,0
2007-02,6,30,23,28,56,0,0,18,0,11,0,21,0
2007-03,12,40,37,43,41,37,0,41,46,37,0,56,19
2007-04,18,56,41,54,52,0,19,43,48,29,0,39,0
2007-05,11,24,50,60,64,50,0,32,41,17,25,25,0
2007-06,5,25,13,21,28,0,0,14,0,9,0,17,0
2007-07,4,24,6,7,22,0,17,9,0,13,0,0,17
2007-08,8,0,21,25,34,0,0,18,0,24,0,16,0
2007-09,6,22,16,19,33,0,0,13,0,0,0,32,0
2007-10,4,20,27,35,29,0,0,23,0,0,0,28,0
2007-11,7,59,27,35,39,14,41,19,0,17,0,14,28
2007-12,15,21,19,20,30,59,0,12,37,7,0,0,0
2008-01,7,18,16,17,27,13,13,7,0,13,0,13,0
2008-02,5,28,25,22,31,0,0,14,0,7,0,13,0
2008-03,6,0,19,35,44,0,12,7,31,9,0,37,12
2008-04,3,18,38,33,43,12,12,20,30,15,18,12,0
2008-05,11,17,33,51,57,36,24,10,30,12,36,12,12
2008-06,8,0,17,18,20,12,19,27,30,12,19,0,0
2008-07,5,0,14,21,23,0,12,13,0,0,0,0,12
2008-08,5,17,11,16,25,0,12,10,60,0,18,0,0
2008-09,6,16,22,24,32,11,34,9,28,11,17,0,0
2008-10,5,14,25,35,44,10,15,25,25,15,0,10,10
2008-11,6,15,31,34,44,11,11,29,26,8,32,11,0
2008-12,8,15,21,20,23,16,0,15,26,8,16,11,0
2009-01,5,14,18,18,18,10,0,5,24,10,15,10,0
2009-02,12,15,26,26,33,10,10,22,50,13,15,10,0
2009-03,9,39,35,31,38,0,9,25,22,9,20,18,18
2009-04,5,27,30,30,42,0,38,21,23,12,42,14,9
2009-05,6,38,28,36,40,9,27,25,22,11,14,9,9
2009-06,9,25,18,22,26,9,9,7,22,9,26,9,9
2009-07,6,13,10,12,13,0,9,7,0,4,0,9,0
2009-08,3,13,16,24,25,0,18,15,22,4,0,0,18
2009-09,2,12,20,24,24,0,0,18,20,6,0,8,8
2009-10,5,11,28,28,33,15,8,34,19,12,12,8,8
2009-11,10,11,32,41,43,16,8,32,29,12,29,23,0
2009-12,12,22,16,16,25,0,8,17,38,6,18,8,8
2010-01,4,10,16,18,20,0,11,6,18,11,11,7,7
2010-02,5,11,16,19,29,23,8,6,38,10,11,11,8
2010-03,11,15,29,28,40,24,10,24,33,5,15,14,14
2010-04,4,20,30,29,35,11,14,12,44,16,22,14,0
