Month,coral bleaching great barrier reef: (Worldwide),coral bleaching on the great barrier reef: (Worldwide),coral bleaching in the great barrier reef: (Worldwide),bleaching great barrier reef: (Worldwide),what is coral bleaching great barrier reef: (Worldwide),bleaching of the great barrier reef: (Worldwide),bleached great barrier reef: (Worldwide),great barrier reef bleaching: (Worldwide),great barrier reef coral bleaching: (Worldwide),how much of the great barrier reef is bleached: (Worldwide),what percentage of the great barrier reef is bleached: (Worldwide),the great barrier reef coral bleaching: (Worldwide)
2004-01,0,0,61,0,0,0,0,0,0,0,0,0
2004-02,35,0,0,19,0,0,0,19,35,0,0,0
2004-03,0,100,0,47,0,75,0,47,0,0,0,0
2004-04,33,0,0,18,0,0,0,18,33,0,0,0
2004-05,72,0,0,55,0,0,0,55,72,0,0,0
2004-06,58,0,100,32,0,100,0,32,58,0,0,100
2004-07,30,0,0,33,0,52,0,33,30,0,0,42
2004-08,28,0,0,23,0,0,0,23,28,0,0,0
2004-09,52,60,45,28,97,0,0,28,52,0,0,36
2004-10,40,62,0,22,100,46,0,22,40,0,0,37
2004-11,40,0,0,43,0,0,100,43,40,0,0,0
2004-12,25,0,42,13,0,0,0,13,25,0,0,34
2005-01,0,0,0,0,0,0,0,0,0,0,0,0
2005-02,34,0,0,19,0,0,0,19,34,0,0,0
2005-03,38,0,33,21,0,0,0,21,38,0,0,0
2005-04,21,0,0,23,0,0,0,23,21,0,0,30
2005-05,19,0,32,0,0,32,0,0,19,0,0,0
2005-06,56,0,0,21,70,0,0,21,56,0,0,52
2005-07,29,45,0,10,0,33,0,10,29,0,0,0
2005-08,0,0,0,0,0,0,0,0,0,0,0,26
2005-09,33,39,0,14,63,58,0,14,33,0,0,35
2005-10,48,0,41,17,0,0,0,17,48,0,0,22
2005-11,47,0,27,17,59,0,0,17,47,0,0,44
2005-12,0,0,0,0,0,0,0,0,0,0,0,0
2006-01,13,0,0,7,0,0,0,7,13,0,0,0
2006-02,28,65,24,15,0,24,0,15,28,0,0,20
2006-03,24,28,0,6,0,21,0,6,24,0,0,25
2006-04,26,30,0,7,0,0,0,7,26,0,0,0
2006-05,29,0,61,32,44,0,0,32,29,100,0,49
2006-06,25,0,0,7,0,42,0,7,25,0,0,17
2006-07,12,0,0,7,0,0,0,7,12,0,0,0
2006-08,11,0,0,0,0,0,0,0,11,0,0,0
2006-09,11,0,0,9,0,0,0,9,11,0,0,15
2006-10,10,23,0,16,0,17,0,16,10,0,0,21
2006-11,34,23,0,21,0,25,37,21,34,0,0,13
2006-12,0,0,0,0,0,0,0,0,0,0,0,0
2007-01,9,0,0,10,0,0,0,10,9,0,0,0
2007-02,14,0,16,10,0,0,0,10,14,0,0,13
2007-03,16,19,14,13,60,14,30,13,16,0,0,22
2007-04,21,0,15,16,0,15,32,16,21,0,0,18
2007-05,22,17,0,16,27,25,28,16,22,0,0,40
2007-06,8,0,13,17,0,26,0,17,8,0,0,11
2007-07,14,17,0,0,0,0,0,0,14,0,0,10
2007-08,38,16,24,17,26,18,0,17,38,0,0,29
2007-09,27,0,12,13,0,0,0,13,27,0,0,14
2007-10,12,14,0,5,23,11,0,5,12,0,0,13
2007-11,6,14,0,6,0,31,0,6,6,0,0,16
2007-12,19,0,11,5,0,11,0,5,19,0,0,9
2008-01,17,0,10,6,0,0,21,6,17,0,0,8
2008-02,11,0,10,6,0,0,22,6,11,0,0,8
2008-03,29,13,0,16,20,19,0,16,29,0,0,15
2008-04,18,12,9,10,0,0,0,10,18,0,0,7
2008-05,18,12,9,21,20,14,0,21,18,0,0,15
2008-06,24,12,9,9,0,9,0,9,24,0,0,7
2008-07,16,12,9,9,0,9,0,9,16,0,0,7
2008-08,21,12,9,6,0,9,0,6,21,0,0,7
2008-09,7,23,8,13,18,0,0,13,7,0,0,13
2008-10,9,10,8,8,17,15,0,8,9,0,0,18
2008-11,28,11,8,18,17,0,0,18,28,39,0,13
2008-12,7,11,8,5,17,8,0,5,7,0,0,13
2009-01,8,19,0,10,0,7,16,10,8,0,0,9
2009-02,18,0,8,8,16,0,0,8,18,0,0,6
2009-03,21,14,13,15,15,7,15,15,21,0,0,19
2009-04,16,28,7,17,0,11,0,17,16,0,0,8
2009-05,37,23,13,22,22,10,29,22,37,0,0,16
2009-06,19,9,13,9,21,7,0,9,19,0,0,18
2009-07,19,9,0,6,14,7,0,6,19,0,0,21
2009-08,19,9,17,13,21,17,0,13,19,0,0,19
2009-09,18,17,6,17,13,12,0,17,18,0,0,10
2009-10,13,8,6,16,0,0,0,16,13,0,0,9
2009-11,29,8,6,17,13,9,0,17,29,0,0,21
2009-12,17,0,12,6,0,6,0,6,17,0,0,5
2010-01,5,0,0,6,12,0,0,6,5,0,0,4
2010-02,5,0,6,5,12,11,12,5,5,28,0,5
2010-03,19,14,10,14,11,10,0,14,19,0,0,12
2010-04,9,7,11,4,12,11,0,4,9,0,0,11
2010-05,9,7,8,12,17,8,0,12,9,0,0,13
2010-06,12,7,8,5,12,11,12,5,12,0,0,9
2010-07,7,0,0,4,0,0,0,4,7,0,0,6
2010-08,10,13,5,3,0,0,0,3,10,0,0,12
2010-09,7,9,5,12,25,9,0,12,7,0,0,15
2010-10,29,0,4,14,14,7,0,14,29,0,0,20
2010-11,10,12,4,11,9,11,10,11,10,0,0,9
2010-12,6,6,4,1,0,9,10,1,6,0,0,4
2011-01,7,0,8,3,0,8,9,3,7,0,0,3
2011-02,11,6,4,5,9,0,0,5,11,0,0,5
2011-03,19,5,4,7,12,8,8,7,19,0,100,12
2011-04,9,5,0,9,18,8,0,9,9,0,0,8
2011-05,14,10,6,8,25,15,8,8,14,0,0,9
2011-06,14,11,10,7,8,4,17,7,14,0,0,13
2011-07,7,5,0,4,8,0,0,4,7,0,0,9
2011-08,4,5,7,6,8,7,8,6,4,0,0,3
2011-09,8,0,11,7,8,7,0,7,8,0,0,7
2011-10,19,9,7,10,18,12,7,10,19,0,0,18
2011-11,11,5,7,6,0,10,7,6,11,0,89,14
2011-12,6,5,0,3,0,3,0,3,6,0,0,0
2012-01,5,4,3,3,0,3,7,3,5,0,0,7
2012-02,4,0,0,6,7,0,14,6,4,0,0,5
2012-03,9,6,11,8,6,12,0,8,9,0,0,7
2012-04,9,12,5,5,7,3,0,5,9,0,0,5
2012-05,14,4,7,9,13,7,7,9,14,0,0,15
2012-06,8,0,3,2,13,3,7,2,8,15,0,2
2012-07,3,0,3,1,6,3,0,1,3,0,0,2
2012-08,9,8,4,6,13,0,6,6,9,0,0,13
2012-09,13,6,3,6,19,7,7,6,13,0,0,11
2012-10,13,7,7,9,20,9,0,9,13,0,0,8
2012-11,17,5,10,11,21,5,6,11,17,0,0,12
2012-12,4,7,3,2,0,0,6,2,4,0,0,0
2013-01,6,0,6,4,5,0,0,4,6,0,0,2
2013-02,9,4,5,5,6,8,12,5,9,0,0,10
2013-03,11,5,7,7,10,12,5,7,11,0,0,7
2013-04,11,10,5,8,0,5,5,8,11,0,0,12
2013-05,19,13,10,11,8,8,0,11,19,0,0,10
2013-06,9,3,2,4,5,4,5,4,9,0,0,6
2013-07,4,7,4,4,5,2,0,4,4,0,0,6
2013-08,10,10,11,4,21,10,5,4,10,0,0,11
2013-09,9,9,5,7,5,2,5,7,9,0,0,8
2013-10,12,5,12,9,7,9,0,9,12,0,0,15
2013-11,10,5,9,4,5,6,5,4,10,0,0,7
2013-12,8,5,5,4,0,2,5,4,8,0,0,8
2014-01,4,6,4,2,7,3,9,2,4,0,0,6
2014-02,10,3,2,7,10,3,0,7,10,0,0,10
2014-03,14,4,5,10,18,6,4,10,14,10,0,12
2014-04,11,3,4,8,5,4,0,8,11,0,0,9
2014-05,20,3,10,9,9,6,9,9,20,0,0,15
2014-06,8,6,5,4,5,6,0,4,8,0,0,13
2014-07,3,6,0,1,5,7,5,1,3,0,0,4
2014-08,11,16,8,6,15,14,0,6,11,0,0,8
2014-09,7,0,6,4,10,6,10,4,7,0,0,6
2014-10,12,6,5,9,12,4,5,9,12,0,0,11
2014-11,11,4,8,10,14,7,10,10,11,0,0,7
2014-12,6,6,8,5,9,5,5,5,6,0,0,8
2015-01,5,3,5,3,4,2,4,3,5,0,0,5
2015-02,7,3,7,8,12,8,0,8,7,0,0,11
2015-03,13,5,8,6,15,6,4,6,13,0,0,10
2015-04,8,3,3,4,4,9,14,4,8,0,0,3
2015-05,13,4,10,9,17,7,4,9,13,10,0,6
2015-06,9,3,8,5,13,5,4,5,9,0,0,11
2015-07,6,8,4,4,4,6,0,4,6,0,0,8
2015-08,10,7,4,6,0,2,4,6,10,0,0,7
2015-09,6,4,6,4,8,4,0,4,6,0,0,10
2015-10,12,2,7,8,10,5,14,8,12,0,0,10
2015-11,14,6,7,10,14,11,12,10,14,0,0,11
2015-12,7,3,3,3,6,5,4,3,7,0,0,8
2016-01,3,3,2,3,8,4,8,3,3,0,0,5
2016-02,10,5,3,4,18,4,4,4,10,0,0,7
2016-03,26,8,6,29,10,10,0,29,26,0,0,14
2016-04,53,5,11,58,21,18,40,58,53,14,51,22
2016-05,50,12,11,52,25,27,23,52,50,9,50,34
2016-06,28,16,15,40,17,19,11,40,28,10,0,27
2016-07,19,5,8,23,18,8,9,23,19,10,0,8
2016-08,37,10,8,24,16,9,16,24,37,0,55,23
2016-09,26,16,13,20,11,14,11,20,26,10,0,22
2016-10,100,9,25,100,86,38,38,100,100,19,51,66
2016-11,59,13,27,43,31,28,32,43,59,19,0,40
2016-12,32,10,9,25,25,16,8,25,32,14,0,20
2017-01,22,4,7,17,14,8,12,17,22,0,0,11
2017-02,31,5,13,20,15,17,15,20,31,9,51,26
2017-03,51,16,20,49,48,29,49,49,51,17,0,31
2017-04,64,15,19,58,28,26,38,58,64,18,0,37
2017-05,61,10,28,41,29,24,34,41,61,0,47,42
2017-06,30,8,14,27,15,18,21,27,30,14,0,22
2017-07,32,9,10,29,18,11,17,29,32,9,50,17
2017-08,28,10,21,21,22,17,16,21,28,9,48,30
2017-09,39,10,20,24,36,17,20,24,39,9,0,33
2017-10,30,9,15,23,23,13,25,23,30,17,46,26
2017-11,44,17,26,31,19,19,33,31,44,26,0,35
2017-12,20,5,12,16,17,11,20,16,20,9,47,11
2018-01,19,6,10,18,16,13,18,18,19,8,0,12
2018-02,37,7,20,22,36,11,24,22,37,0,48,21
2018-03,28,8,24,23,23,25,20,23,28,28,0,35
2018-04,37,8,12,27,21,17,21,27,37,13,45,22
2018-05,42,16,14,27,36,19,17,27,42,8,0,38
2018-06,27,7,6,18,15,9,11,18,27,8,45,13
2018-07,14,7,4,10,7,7,11,10,14,8,0,12
2018-08,29,7,14,25,25,18,15,25,29,16,0,24
2018-09,29,6,9,23,27,22,17,23,29,17,0,28
2018-10,23,8,13,18,40,19,14,18,23,31,0,15
