Month,Reef damage,Coral reef Damaged,Coral Bleaching,Great Barrier Reef Damage,Coral Disease,Great Barrier Reef Oil Spill,Climate Change,Coral and El Nino
2004-01,18,0,82,81,23,0,24,9
2004-02,9,0,63,40,13,0,35,0
2004-03,28,11,56,0,17,0,32,11
2004-04,17,9,74,38,9,0,26,0
2004-05,30,0,94,100,23,12,28,0
2004-06,8,0,53,0,19,0,21,0
2004-07,0,0,24,0,16,0,19,0
2004-08,11,0,66,32,11,0,18,0
2004-09,37,0,40,0,20,0,23,0
2004-10,10,7,79,30,17,11,26,0
2004-11,0,0,65,0,31,0,31,0
2004-12,13,0,64,0,22,0,27,6
2005-01,20,0,56,0,25,0,30,0
2005-02,9,6,68,26,18,0,29,0
2005-03,32,0,59,87,12,0,29,5
2005-04,22,5,74,25,14,0,28,0
2005-05,7,0,66,22,22,0,25,5
2005-06,5,0,41,22,12,0,25,0
2005-07,28,0,33,22,10,0,23,0
2005-08,19,0,38,32,17,0,20,0
2005-09,15,0,48,29,11,0,26,9
2005-10,27,0,67,18,14,0,30,0
2005-11,22,4,77,18,8,6,34,0
2005-12,4,0,42,18,10,0,30,0
2006-01,14,4,55,16,11,6,27,0
2006-02,7,4,82,16,13,0,30,4
2006-03,12,0,74,14,22,5,36,3
2006-04,15,3,84,0,13,0,30,0
2006-05,12,6,89,14,15,5,33,0
2006-06,13,6,36,14,6,0,29,0
2006-07,10,3,22,58,8,0,22,0
2006-08,9,0,37,13,12,0,20,0
2006-09,6,0,50,13,13,0,29,0
2006-10,9,0,60,17,5,0,42,0
2006-11,5,3,64,11,4,0,46,0
2006-12,5,0,43,0,8,0,31,0
2007-01,6,0,41,10,7,0,46,0
2007-02,6,2,59,21,11,0,68,0
2007-03,8,2,50,9,5,0,58,0
2007-04,3,2,59,10,10,0,59,0
2007-05,9,2,80,21,13,0,54,2
2007-06,5,0,39,9,6,6,44,0
2007-07,4,0,23,8,9,3,39,4
2007-08,3,0,51,8,9,0,37,0
2007-09,6,0,44,0,5,3,44,2
2007-10,9,3,51,21,10,0,59,2
2007-11,4,3,54,7,10,2,62,2
2007-12,4,0,41,0,11,0,50,0
2008-01,4,2,38,13,6,0,46,0
2008-02,7,0,36,10,17,2,49,0
2008-03,6,3,59,6,8,0,51,0
2008-04,8,2,57,6,8,0,53,0
2008-05,3,4,75,15,9,2,51,0
2008-06,3,0,34,0,2,0,43,0
2008-07,4,0,33,0,3,0,40,0
2008-08,2,0,29,6,8,0,35,0
2008-09,4,0,38,6,7,0,43,0
2008-10,4,1,47,0,8,3,50,1
2008-11,10,3,52,5,7,0,51,0
2008-12,3,5,30,5,7,0,40,1
2009-01,5,1,30,0,7,2,40,0
2009-02,2,2,39,5,9,0,45,1
2009-03,7,3,56,9,7,2,50,0
2009-04,5,0,61,0,8,2,51,1
2009-05,7,3,58,11,9,4,47,0
2009-06,6,2,40,9,5,0,48,0
2009-07,3,1,20,0,5,0,40,0
2009-08,5,2,34,13,8,0,39,1
2009-09,4,0,36,6,7,1,53,0
2009-10,7,2,48,10,10,4,68,1
2009-11,6,1,63,10,9,1,84,1
2009-12,4,0,32,4,4,0,100,0
2010-01,3,2,27,7,7,0,57,1
