Month,reef: (Worldwide)
2004-01,89
2004-02,100
2004-03,98
2004-04,91
2004-05,95
2004-06,84
2004-07,80
2004-08,83
2004-09,76
2004-10,73
2004-11,69
2004-12,65
2005-01,82
2005-02,96
2005-03,91
2005-04,84
2005-05,86
2005-06,83
2005-07,80
2005-08,78
2005-09,67
2005-10,71
2005-11,67
2005-12,60
2006-01,72
2006-02,74
2006-03,71
2006-04,72
2006-05,74
2006-06,72
2006-07,76
2006-08,70
2006-09,63
2006-10,58
2006-11,57
2006-12,53
2007-01,64
2007-02,67
2007-03,65
2007-04,66
2007-05,67
2007-06,65
2007-07,63
2007-08,60
2007-09,55
2007-10,56
2007-11,53
2007-12,50
2008-01,59
2008-02,57
2008-03,58
2008-04,59
2008-05,63
2008-06,59
2008-07,57
2008-08,54
2008-09,50
2008-10,49
2008-11,47
2008-12,46
2009-01,66
2009-02,56
2009-03,57
2009-04,54
2009-05,57
2009-06,55
2009-07,55
2009-08,52
2009-09,47
2009-10,46
2009-11,45
2009-12,42
2010-01,50
2010-02,50
2010-03,52
2010-04,56
2010-05,53
2010-06,50
2010-07,51
2010-08,50
2010-09,43
2010-10,42
2010-11,47
2010-12,42
2011-01,48
2011-02,49
2011-03,48
2011-04,46
2011-05,48
2011-06,51
2011-07,47
2011-08,47
2011-09,43
2011-10,42
2011-11,42
2011-12,41
2012-01,47
2012-02,46
2012-03,46
2012-04,46
2012-05,48
2012-06,46
2012-07,47
2012-08,45
2012-09,45
2012-10,41
2012-11,40
2012-12,39
2013-01,46
2013-02,48
2013-03,47
2013-04,47
2013-05,45
2013-06,46
2013-07,48
2013-08,44
2013-09,40
2013-10,38
2013-11,39
2013-12,39
2014-01,44
2014-02,45
2014-03,44
2014-04,43
2014-05,45
2014-06,43
2014-07,43
2014-08,43
2014-09,40
2014-10,37
2014-11,38
2014-12,37
2015-01,39
2015-02,40
2015-03,42
2015-04,42
2015-05,43
2015-06,42
2015-07,43
2015-08,41
2015-09,37
2015-10,37
2015-11,36
2015-12,36
2016-01,40
2016-02,41
2016-03,42
2016-04,43
2016-05,43
2016-06,41
2016-07,41
2016-08,39
2016-09,38
2016-10,54
2016-11,37
2016-12,37
2017-01,40
2017-02,41
2017-03,44
2017-04,42
2017-05,41
2017-06,41
2017-07,44
2017-08,39
2017-09,38
2017-10,36
2017-11,36
2017-12,35
2018-01,38
2018-02,39
2018-03,40
2018-04,41
2018-05,41
2018-06,38
2018-07,41
2018-08,41
2018-09,36
2018-10,36
