Month,great barrier reef
2004-01,48
2004-02,68
2004-03,86
2004-04,62
2004-05,83
2004-06,60
2004-07,39
2004-08,56
2004-09,50
2004-10,57
2004-11,56
2004-12,35
2005-01,32
2005-02,49
2005-03,61
2005-04,53
2005-05,67
2005-06,48
2005-07,33
2005-08,45
2005-09,42
2005-10,43
2005-11,41
2005-12,25
2006-01,28
2006-02,39
2006-03,50
2006-04,36
2006-05,44
2006-06,32
2006-07,22
2006-08,34
2006-09,44
2006-10,33
2006-11,34
2006-12,22
2007-01,25
2007-02,31
2007-03,38
2007-04,29
2007-05,37
2007-06,29
2007-07,20
2007-08,27
2007-09,26
2007-10,28
2007-11,28
2007-12,18
2008-01,21
2008-02,24
2008-03,30
2008-04,26
2008-05,34
2008-06,24
2008-07,17
2008-08,18
2008-09,24
2008-10,25
2008-11,24
2008-12,17
2009-01,32
2009-02,29
2009-03,32
2009-04,25
2009-05,34
2009-06,24
2009-07,19
2009-08,22
2009-09,26
2009-10,23
2009-11,24
2009-12,15
2010-01,18
2010-02,22
2010-03,28
2010-04,42
2010-05,30
2010-06,21
2010-07,16
2010-08,20
2010-09,21
2010-10,22
2010-11,22
2010-12,13
2011-01,18
2011-02,20
2011-03,23
2011-04,19
2011-05,25
2011-06,19
2011-07,14
2011-08,18
2011-09,19
2011-10,19
2011-11,21
2011-12,14
2012-01,22
2012-02,20
2012-03,25
2012-04,18
2012-05,23
2012-06,20
2012-07,14
2012-08,18
2012-09,28
2012-10,25
2012-11,20
2012-12,15
2013-01,17
2013-02,18
2013-03,21
2013-04,20
2013-05,22
2013-06,18
2013-07,21
2013-08,18
2013-09,23
2013-10,20
2013-11,21
2013-12,17
2014-01,19
2014-02,22
2014-03,24
2014-04,19
2014-05,24
2014-06,19
2014-07,14
2014-08,18
2014-09,20
2014-10,19
2014-11,21
2014-12,14
2015-01,16
2015-02,19
2015-03,22
2015-04,18
2015-05,22
2015-06,19
2015-07,16
2015-08,20
2015-09,20
2015-10,20
2015-11,20
2015-12,16
2016-01,20
2016-02,19
2016-03,22
2016-04,25
2016-05,26
2016-06,20
2016-07,15
2016-08,18
2016-09,20
2016-10,100
2016-11,27
2016-12,19
2017-01,20
2017-02,21
2017-03,29
2017-04,25
2017-05,24
2017-06,24
2017-07,29
2017-08,21
2017-09,19
2017-10,20
2017-11,22
2017-12,16
2018-01,19
2018-02,20
2018-03,21
2018-04,21
2018-05,23
2018-06,16
2018-07,14
2018-08,21
2018-09,21
2018-10,17
