Category: All categories

Month,bleaching great barrier reef: (Worldwide)
2004-01,0
2004-02,19
2004-03,47
2004-04,18
2004-05,55
2004-06,32
2004-07,33
2004-08,23
2004-09,28
2004-10,22
2004-11,43
2004-12,13
2005-01,0
2005-02,19
2005-03,21
2005-04,23
2005-05,0
2005-06,21
2005-07,10
2005-08,0
2005-09,14
2005-10,17
2005-11,17
2005-12,0
2006-01,7
2006-02,15
2006-03,6
2006-04,7
2006-05,32
2006-06,7
2006-07,7
2006-08,0
2006-09,9
2006-10,16
2006-11,21
2006-12,0
2007-01,10
2007-02,10
2007-03,13
2007-04,16
2007-05,16
2007-06,17
2007-07,0
2007-08,17
2007-09,13
2007-10,5
2007-11,6
2007-12,5
2008-01,6
2008-02,6
2008-03,16
2008-04,10
2008-05,21
2008-06,9
2008-07,9
2008-08,6
2008-09,13
2008-10,8
2008-11,18
2008-12,5
2009-01,10
2009-02,8
2009-03,15
2009-04,17
2009-05,22
2009-06,9
2009-07,6
2009-08,13
2009-09,17
2009-10,16
2009-11,17
2009-12,6
2010-01,6
2010-02,5
2010-03,14
2010-04,4
2010-05,12
2010-06,5
2010-07,4
2010-08,3
2010-09,12
2010-10,14
2010-11,11
2010-12,1
2011-01,3
2011-02,5
2011-03,7
2011-04,9
2011-05,8
2011-06,7
2011-07,4
2011-08,6
2011-09,7
2011-10,10
2011-11,6
2011-12,3
2012-01,3
2012-02,6
2012-03,8
2012-04,5
2012-05,9
2012-06,2
2012-07,1
2012-08,6
2012-09,6
2012-10,9
2012-11,11
2012-12,2
2013-01,4
2013-02,5
2013-03,7
2013-04,8
2013-05,11
2013-06,4
2013-07,4
2013-08,4
2013-09,7
2013-10,9
2013-11,4
2013-12,4
2014-01,2
2014-02,7
2014-03,10
2014-04,8
2014-05,9
2014-06,4
2014-07,1
2014-08,6
2014-09,4
2014-10,9
2014-11,10
2014-12,5
2015-01,3
2015-02,8
2015-03,6
2015-04,4
2015-05,9
2015-06,5
2015-07,4
2015-08,6
2015-09,4
2015-10,8
2015-11,10
2015-12,3
2016-01,3
2016-02,4
2016-03,29
2016-04,58
2016-05,52
2016-06,40
2016-07,23
2016-08,24
2016-09,20
2016-10,100
2016-11,43
2016-12,25
2017-01,17
2017-02,20
2017-03,49
2017-04,58
2017-05,41
2017-06,27
2017-07,29
2017-08,21
2017-09,24
2017-10,23
2017-11,31
2017-12,16
2018-01,18
2018-02,22
2018-03,23
2018-04,27
2018-05,27
2018-06,18
2018-07,10
2018-08,25
2018-09,23
2018-10,18
