Category: All categories

Month,bleaching of the great barrier reef: (Worldwide)
2004-01,0
2004-02,0
2004-03,75
2004-04,0
2004-05,0
2004-06,100
2004-07,52
2004-08,0
2004-09,0
2004-10,46
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,32
2005-06,0
2005-07,33
2005-08,0
2005-09,58
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,24
2006-03,21
2006-04,0
2006-05,0
2006-06,42
2006-07,0
2006-08,0
2006-09,0
2006-10,17
2006-11,25
2006-12,0
2007-01,0
2007-02,0
2007-03,14
2007-04,15
2007-05,25
2007-06,26
2007-07,0
2007-08,18
2007-09,0
2007-10,11
2007-11,31
2007-12,11
2008-01,0
2008-02,0
2008-03,19
2008-04,0
2008-05,14
2008-06,9
2008-07,9
2008-08,9
2008-09,0
2008-10,15
2008-11,0
2008-12,8
2009-01,7
2009-02,0
2009-03,7
2009-04,11
2009-05,10
2009-06,7
2009-07,7
2009-08,17
2009-09,12
2009-10,0
2009-11,9
2009-12,6
2010-01,0
2010-02,11
2010-03,10
2010-04,11
2010-05,8
2010-06,11
2010-07,0
2010-08,0
2010-09,9
2010-10,7
2010-11,11
2010-12,9
2011-01,8
2011-02,0
2011-03,8
2011-04,8
2011-05,15
2011-06,4
2011-07,0
2011-08,7
2011-09,7
2011-10,12
2011-11,10
2011-12,3
2012-01,3
2012-02,0
2012-03,12
2012-04,3
2012-05,7
2012-06,3
2012-07,3
2012-08,0
2012-09,7
2012-10,9
2012-11,5
2012-12,0
2013-01,0
2013-02,8
2013-03,12
2013-04,5
2013-05,8
2013-06,4
2013-07,2
2013-08,10
2013-09,2
2013-10,9
2013-11,6
2013-12,2
2014-01,3
2014-02,3
2014-03,6
2014-04,4
2014-05,6
2014-06,6
2014-07,7
2014-08,14
2014-09,6
2014-10,4
2014-11,7
2014-12,5
2015-01,2
2015-02,8
2015-03,6
2015-04,9
2015-05,7
2015-06,5
2015-07,6
2015-08,2
2015-09,4
2015-10,5
2015-11,11
2015-12,5
2016-01,4
2016-02,4
2016-03,10
2016-04,18
2016-05,27
2016-06,19
2016-07,8
2016-08,9
2016-09,14
2016-10,38
2016-11,28
2016-12,16
2017-01,8
2017-02,17
2017-03,29
2017-04,26
2017-05,24
2017-06,18
2017-07,11
2017-08,17
2017-09,17
2017-10,13
2017-11,19
2017-12,11
2018-01,13
2018-02,11
2018-03,25
2018-04,17
2018-05,19
2018-06,9
2018-07,7
2018-08,18
2018-09,22
2018-10,19
