Category: All categories

Month,coral bleaching and climate change: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,77
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,57
2005-01,100
2005-02,0
2005-03,44
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,36
2006-01,0
2006-02,0
2006-03,27
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,26
2006-10,23
2006-11,0
2006-12,23
2007-01,0
2007-02,0
2007-03,19
2007-04,0
2007-05,0
2007-06,0
2007-07,17
2007-08,0
2007-09,0
2007-10,0
2007-11,28
2007-12,0
2008-01,0
2008-02,0
2008-03,12
2008-04,0
2008-05,12
2008-06,0
2008-07,12
2008-08,0
2008-09,0
2008-10,10
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,18
2009-04,9
2009-05,9
2009-06,9
2009-07,0
2009-08,18
2009-09,8
2009-10,8
2009-11,0
2009-12,8
2010-01,7
2010-02,8
2010-03,14
2010-04,0
2010-05,14
2010-06,0
2010-07,7
2010-08,7
2010-09,6
2010-10,6
2010-11,9
2010-12,0
2011-01,0
2011-02,0
2011-03,5
2011-04,5
2011-05,0
2011-06,5
2011-07,15
2011-08,10
2011-09,14
2011-10,5
2011-11,5
2011-12,5
2012-01,4
2012-02,4
2012-03,4
2012-04,4
2012-05,8
2012-06,0
2012-07,4
2012-08,0
2012-09,0
2012-10,5
2012-11,7
2012-12,5
2013-01,3
2013-02,5
2013-03,3
2013-04,8
2013-05,3
2013-06,3
2013-07,10
2013-08,0
2013-09,3
2013-10,8
2013-11,0
2013-12,8
2014-01,0
2014-02,3
2014-03,3
2014-04,7
2014-05,4
2014-06,6
2014-07,6
2014-08,6
2014-09,5
2014-10,17
2014-11,6
2014-12,6
2015-01,8
2015-02,7
2015-03,3
2015-04,7
2015-05,4
2015-06,3
2015-07,0
2015-08,3
2015-09,3
2015-10,7
2015-11,13
2015-12,4
2016-01,3
2016-02,12
2016-03,11
2016-04,12
2016-05,14
2016-06,11
2016-07,5
2016-08,6
2016-09,7
2016-10,6
2016-11,13
2016-12,8
2017-01,6
2017-02,13
2017-03,13
2017-04,12
2017-05,6
2017-06,8
2017-07,3
2017-08,5
2017-09,5
2017-10,8
2017-11,8
2017-12,8
2018-01,7
2018-02,14
2018-03,5
2018-04,8
2018-05,15
2018-06,5
2018-07,3
2018-08,8
2018-09,7
2018-10,51
