Category: All categories

Month,coral bleaching effects: (Worldwide)
2004-01,0
2004-02,0
2004-03,100
2004-04,39
2004-05,34
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,31
2004-11,31
2004-12,28
2005-01,25
2005-02,0
2005-03,0
2005-04,0
2005-05,22
2005-06,22
2005-07,22
2005-08,21
2005-09,19
2005-10,18
2005-11,18
2005-12,18
2006-01,16
2006-02,49
2006-03,34
2006-04,30
2006-05,14
2006-06,14
2006-07,0
2006-08,0
2006-09,13
2006-10,23
2006-11,11
2006-12,23
2007-01,10
2007-02,11
2007-03,37
2007-04,29
2007-05,17
2007-06,9
2007-07,13
2007-08,24
2007-09,0
2007-10,0
2007-11,17
2007-12,7
2008-01,13
2008-02,7
2008-03,9
2008-04,15
2008-05,12
2008-06,12
2008-07,0
2008-08,0
2008-09,11
2008-10,15
2008-11,8
2008-12,8
2009-01,10
2009-02,13
2009-03,9
2009-04,12
2009-05,11
2009-06,9
2009-07,4
2009-08,4
2009-09,6
2009-10,12
2009-11,12
2009-12,6
2010-01,11
2010-02,10
2010-03,5
2010-04,16
2010-05,18
2010-06,5
2010-07,3
2010-08,5
2010-09,13
2010-10,15
2010-11,7
2010-12,4
2011-01,7
2011-02,4
2011-03,12
2011-04,14
2011-05,8
2011-06,8
2011-07,4
2011-08,2
2011-09,2
2011-10,10
2011-11,11
2011-12,8
2012-01,3
2012-02,10
2012-03,13
2012-04,10
2012-05,6
2012-06,6
2012-07,2
2012-08,3
2012-09,2
2012-10,11
2012-11,6
2012-12,6
2013-01,6
2013-02,8
2013-03,9
2013-04,10
2013-05,10
2013-06,3
2013-07,5
2013-08,9
2013-09,4
2013-10,11
2013-11,10
2013-12,4
2014-01,4
2014-02,11
2014-03,10
2014-04,11
2014-05,10
2014-06,6
2014-07,5
2014-08,7
2014-09,9
2014-10,9
2014-11,13
2014-12,4
2015-01,3
2015-02,8
2015-03,4
2015-04,8
2015-05,8
2015-06,6
2015-07,4
2015-08,1
2015-09,4
2015-10,10
2015-11,6
2015-12,6
2016-01,6
2016-02,8
2016-03,11
2016-04,13
2016-05,13
2016-06,5
2016-07,3
2016-08,3
2016-09,3
2016-10,10
2016-11,10
2016-12,5
2017-01,5
2017-02,14
2017-03,18
2017-04,13
2017-05,16
2017-06,8
2017-07,6
2017-08,4
2017-09,9
2017-10,14
2017-11,8
2017-12,8
2018-01,10
2018-02,10
2018-03,14
2018-04,18
2018-05,17
2018-06,8
2018-07,3
2018-08,6
2018-09,7
2018-10,11
