Category: All categories

Month,coral bleaching facts: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,100
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,65
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,41
2006-04,45
2006-05,0
2006-06,0
2006-07,43
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,25
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,18
2008-05,36
2008-06,19
2008-07,0
2008-08,18
2008-09,17
2008-10,0
2008-11,32
2008-12,16
2009-01,15
2009-02,15
2009-03,20
2009-04,42
2009-05,14
2009-06,26
2009-07,0
2009-08,0
2009-09,0
2009-10,12
2009-11,29
2009-12,18
2010-01,11
2010-02,11
2010-03,15
2010-04,22
2010-05,16
2010-06,16
2010-07,10
2010-08,0
2010-09,9
2010-10,18
2010-11,9
2010-12,0
2011-01,12
2011-02,9
2011-03,8
2011-04,12
2011-05,19
2011-06,12
2011-07,8
2011-08,7
2011-09,7
2011-10,20
2011-11,7
2011-12,13
2012-01,32
2012-02,6
2012-03,24
2012-04,6
2012-05,12
2012-06,0
2012-07,0
2012-08,0
2012-09,6
2012-10,11
2012-11,22
2012-12,8
2013-01,0
2013-02,11
2013-03,5
2013-04,12
2013-05,10
2013-06,12
2013-07,5
2013-08,12
2013-09,5
2013-10,18
2013-11,18
2013-12,9
2014-01,4
2014-02,9
2014-03,8
2014-04,13
2014-05,17
2014-06,10
2014-07,0
2014-08,9
2014-09,7
2014-10,9
2014-11,13
2014-12,9
2015-01,6
2015-02,7
2015-03,20
2015-04,12
2015-05,12
2015-06,8
2015-07,4
2015-08,6
2015-09,12
2015-10,18
2015-11,11
2015-12,8
2016-01,4
2016-02,0
2016-03,17
2016-04,22
2016-05,23
2016-06,24
2016-07,8
2016-08,13
2016-09,8
2016-10,12
2016-11,29
2016-12,15
2017-01,11
2017-02,20
2017-03,17
2017-04,22
2017-05,33
2017-06,19
2017-07,11
2017-08,26
2017-09,21
2017-10,14
2017-11,25
2017-12,7
2018-01,15
2018-02,17
2018-03,23
2018-04,31
2018-05,25
2018-06,12
2018-07,10
2018-08,18
2018-09,24
2018-10,19
