Category: All categories

Month,coral bleaching great barrier reef: (Worldwide)
2004-01,0
2004-02,35
2004-03,0
2004-04,33
2004-05,72
2004-06,58
2004-07,30
2004-08,28
2004-09,52
2004-10,40
2004-11,40
2004-12,25
2005-01,0
2005-02,34
2005-03,38
2005-04,21
2005-05,19
2005-06,56
2005-07,29
2005-08,0
2005-09,33
2005-10,48
2005-11,47
2005-12,0
2006-01,13
2006-02,28
2006-03,24
2006-04,26
2006-05,29
2006-06,25
2006-07,12
2006-08,11
2006-09,11
2006-10,10
2006-11,34
2006-12,0
2007-01,9
2007-02,14
2007-03,16
2007-04,21
2007-05,22
2007-06,8
2007-07,14
2007-08,38
2007-09,27
2007-10,12
2007-11,6
2007-12,19
2008-01,17
2008-02,11
2008-03,29
2008-04,18
2008-05,18
2008-06,24
2008-07,16
2008-08,21
2008-09,7
2008-10,9
2008-11,28
2008-12,7
2009-01,8
2009-02,18
2009-03,21
2009-04,16
2009-05,37
2009-06,19
2009-07,19
2009-08,19
2009-09,18
2009-10,13
2009-11,29
2009-12,17
2010-01,5
2010-02,5
2010-03,19
2010-04,9
2010-05,9
2010-06,12
2010-07,7
2010-08,10
2010-09,7
2010-10,29
2010-11,10
2010-12,6
2011-01,7
2011-02,11
2011-03,19
2011-04,9
2011-05,14
2011-06,14
2011-07,7
2011-08,4
2011-09,8
2011-10,19
2011-11,11
2011-12,6
2012-01,5
2012-02,4
2012-03,9
2012-04,9
2012-05,14
2012-06,8
2012-07,3
2012-08,9
2012-09,13
2012-10,13
2012-11,17
2012-12,4
2013-01,6
2013-02,9
2013-03,11
2013-04,11
2013-05,19
2013-06,9
2013-07,4
2013-08,10
2013-09,9
2013-10,12
2013-11,10
2013-12,8
2014-01,4
2014-02,10
2014-03,14
2014-04,11
2014-05,20
2014-06,8
2014-07,3
2014-08,11
2014-09,7
2014-10,12
2014-11,11
2014-12,6
2015-01,5
2015-02,7
2015-03,13
2015-04,8
2015-05,13
2015-06,9
2015-07,6
2015-08,10
2015-09,6
2015-10,12
2015-11,14
2015-12,7
2016-01,3
2016-02,10
2016-03,26
2016-04,53
2016-05,50
2016-06,28
2016-07,19
2016-08,37
2016-09,26
2016-10,100
2016-11,59
2016-12,32
2017-01,22
2017-02,31
2017-03,51
2017-04,64
2017-05,61
2017-06,30
2017-07,32
2017-08,28
2017-09,39
2017-10,30
2017-11,44
2017-12,20
2018-01,19
2018-02,37
2018-03,28
2018-04,37
2018-05,42
2018-06,27
2018-07,14
2018-08,29
2018-09,29
2018-10,23
