Category: All categories

Month,coral damage: (Worldwide)
2004-01,13
2004-02,46
2004-03,32
2004-04,19
2004-05,43
2004-06,22
2004-07,0
2004-08,79
2004-09,53
2004-10,15
2004-11,20
2004-12,23
2005-01,44
2005-02,21
2005-03,28
2005-04,36
2005-05,21
2005-06,25
2005-07,11
2005-08,24
2005-09,6
2005-10,59
2005-11,26
2005-12,11
2006-01,18
2006-02,24
2006-03,29
2006-04,22
2006-05,13
2006-06,7
2006-07,7
2006-08,6
2006-09,10
2006-10,9
2006-11,11
2006-12,11
2007-01,7
2007-02,12
2007-03,12
2007-04,14
2007-05,22
2007-06,6
2007-07,10
2007-08,8
2007-09,6
2007-10,11
2007-11,8
2007-12,7
2008-01,14
2008-02,10
2008-03,9
2008-04,16
2008-05,8
2008-06,8
2008-07,2
2008-08,10
2008-09,12
2008-10,5
2008-11,8
2008-12,9
2009-01,5
2009-02,7
2009-03,12
2009-04,11
2009-05,10
2009-06,4
2009-07,8
2009-08,4
2009-09,5
2009-10,7
2009-11,11
2009-12,7
2010-01,6
2010-02,7
2010-03,10
2010-04,9
2010-05,10
2010-06,8
2010-07,3
2010-08,8
2010-09,7
2010-10,8
2010-11,6
2010-12,4
2011-01,5
2011-02,9
2011-03,8
2011-04,10
2011-05,11
2011-06,4
2011-07,5
2011-08,10
2011-09,6
2011-10,5
2011-11,6
2011-12,5
2012-01,6
2012-02,6
2012-03,9
2012-04,10
2012-05,6
2012-06,5
2012-07,4
2012-08,6
2012-09,6
2012-10,5
2012-11,9
2012-12,5
2013-01,3
2013-02,10
2013-03,9
2013-04,9
2013-05,9
2013-06,6
2013-07,4
2013-08,4
2013-09,5
2013-10,8
2013-11,8
2013-12,5
2014-01,6
2014-02,7
2014-03,8
2014-04,4
2014-05,7
2014-06,7
2014-07,4
2014-08,4
2014-09,8
2014-10,9
2014-11,10
2014-12,5
2015-01,5
2015-02,6
2015-03,10
2015-04,9
2015-05,9
2015-06,6
2015-07,3
2015-08,4
2015-09,4
2015-10,6
2015-11,9
2015-12,7
2016-01,21
2016-02,11
2016-03,10
2016-04,11
2016-05,11
2016-06,6
2016-07,6
2016-08,6
2016-09,9
2016-10,11
2016-11,7
2016-12,8
2017-01,9
2017-02,8
2017-03,10
2017-04,10
2017-05,9
2017-06,6
2017-07,4
2017-08,5
2017-09,100
2017-10,12
2017-11,11
2017-12,7
2018-01,11
2018-02,10
2018-03,8
2018-04,12
2018-05,11
2018-06,11
2018-07,8
2018-08,7
2018-09,9
2018-10,2
