Category: All categories

Month,coral death: (Worldwide)
2004-01,100
2004-02,71
2004-03,88
2004-04,54
2004-05,70
2004-06,0
2004-07,49
2004-08,69
2004-09,32
2004-10,22
2004-11,43
2004-12,60
2005-01,35
2005-02,64
2005-03,93
2005-04,61
2005-05,38
2005-06,38
2005-07,23
2005-08,37
2005-09,34
2005-10,58
2005-11,32
2005-12,31
2006-01,50
2006-02,51
2006-03,62
2006-04,53
2006-05,19
2006-06,25
2006-07,45
2006-08,33
2006-09,40
2006-10,33
2006-11,8
2006-12,20
2007-01,32
2007-02,37
2007-03,36
2007-04,44
2007-05,35
2007-06,21
2007-07,18
2007-08,23
2007-09,39
2007-10,35
2007-11,46
2007-12,41
2008-01,27
2008-02,28
2008-03,50
2008-04,32
2008-05,45
2008-06,33
2008-07,34
2008-08,34
2008-09,20
2008-10,36
2008-11,32
2008-12,24
2009-01,36
2009-02,23
2009-03,51
2009-04,48
2009-05,47
2009-06,39
2009-07,40
2009-08,44
2009-09,76
2009-10,22
2009-11,32
2009-12,33
2010-01,42
2010-02,36
2010-03,48
2010-04,34
2010-05,36
2010-06,25
2010-07,36
2010-08,34
2010-09,32
2010-10,32
2010-11,32
2010-12,34
2011-01,43
2011-02,49
2011-03,42
2011-04,40
2011-05,37
2011-06,36
2011-07,28
2011-08,38
2011-09,37
2011-10,27
2011-11,32
2011-12,45
2012-01,29
2012-02,52
2012-03,40
2012-04,45
2012-05,43
2012-06,26
2012-07,34
2012-08,36
2012-09,31
2012-10,33
2012-11,26
2012-12,33
2013-01,32
2013-02,43
2013-03,33
2013-04,42
2013-05,53
2013-06,30
2013-07,27
2013-08,30
2013-09,23
2013-10,27
2013-11,29
2013-12,35
2014-01,28
2014-02,40
2014-03,41
2014-04,48
2014-05,49
2014-06,25
2014-07,34
2014-08,40
2014-09,30
2014-10,28
2014-11,31
2014-12,33
2015-01,33
2015-02,44
2015-03,41
2015-04,42
2015-05,28
2015-06,33
2015-07,28
2015-08,24
2015-09,25
2015-10,34
2015-11,36
2015-12,28
2016-01,44
2016-02,51
2016-03,41
2016-04,58
2016-05,34
2016-06,41
2016-07,36
2016-08,34
2016-09,31
2016-10,50
2016-11,36
2016-12,35
2017-01,42
2017-02,48
2017-03,50
2017-04,44
2017-05,48
2017-06,29
2017-07,28
2017-08,29
2017-09,38
2017-10,34
2017-11,36
2017-12,36
2018-01,47
2018-02,51
2018-03,53
2018-04,51
2018-05,49
2018-06,34
2018-07,27
2018-08,37
2018-09,33
2018-10,29
