Category: All categories

Month,coral reef bleached: (Worldwide)
2004-01,0
2004-02,0
2004-03,100
2004-04,0
2004-05,0
2004-06,0
2004-07,70
2004-08,0
2004-09,0
2004-10,0
2004-11,62
2004-12,0
2005-01,0
2005-02,0
2005-03,44
2005-04,50
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,38
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,28
2006-04,0
2006-05,27
2006-06,29
2006-07,0
2006-08,0
2006-09,26
2006-10,23
2006-11,0
2006-12,23
2007-01,20
2007-02,0
2007-03,0
2007-04,19
2007-05,0
2007-06,0
2007-07,17
2007-08,0
2007-09,0
2007-10,0
2007-11,41
2007-12,0
2008-01,13
2008-02,0
2008-03,12
2008-04,12
2008-05,24
2008-06,19
2008-07,12
2008-08,12
2008-09,34
2008-10,15
2008-11,11
2008-12,0
2009-01,0
2009-02,10
2009-03,9
2009-04,38
2009-05,27
2009-06,9
2009-07,9
2009-08,18
2009-09,0
2009-10,8
2009-11,8
2009-12,8
2010-01,11
2010-02,8
2010-03,10
2010-04,14
2010-05,18
2010-06,0
2010-07,0
2010-08,0
2010-09,12
2010-10,6
2010-11,6
2010-12,6
2011-01,5
2011-02,23
2011-03,5
2011-04,11
2011-05,10
2011-06,0
2011-07,8
2011-08,7
2011-09,5
2011-10,4
2011-11,9
2011-12,0
2012-01,4
2012-02,4
2012-03,8
2012-04,4
2012-05,4
2012-06,4
2012-07,0
2012-08,8
2012-09,8
2012-10,4
2012-11,4
2012-12,4
2013-01,3
2013-02,9
2013-03,6
2013-04,5
2013-05,3
2013-06,3
2013-07,3
2013-08,5
2013-09,3
2013-10,6
2013-11,6
2013-12,3
2014-01,7
2014-02,6
2014-03,4
2014-04,9
2014-05,9
2014-06,3
2014-07,3
2014-08,6
2014-09,3
2014-10,7
2014-11,7
2014-12,10
2015-01,7
2015-02,6
2015-03,9
2015-04,8
2015-05,9
2015-06,5
2015-07,3
2015-08,0
2015-09,10
2015-10,12
2015-11,6
2015-12,5
2016-01,3
2016-02,5
2016-03,5
2016-04,17
2016-05,29
2016-06,9
2016-07,5
2016-08,13
2016-09,9
2016-10,14
2016-11,23
2016-12,14
2017-01,8
2017-02,9
2017-03,25
2017-04,31
2017-05,32
2017-06,15
2017-07,11
2017-08,17
2017-09,10
2017-10,11
2017-11,24
2017-12,13
2018-01,11
2018-02,13
2018-03,16
2018-04,21
2018-05,20
2018-06,14
2018-07,10
2018-08,9
2018-09,16
2018-10,34
