Category: All categories

Month,coral reef climate change: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,97
2004-06,97
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,89
2004-12,0
2005-01,73
2005-02,0
2005-03,64
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,80
2005-11,53
2005-12,0
2006-01,0
2006-02,47
2006-03,0
2006-04,44
2006-05,40
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,33
2006-11,33
2006-12,34
2007-01,29
2007-02,93
2007-03,54
2007-04,56
2007-05,24
2007-06,0
2007-07,25
2007-08,47
2007-09,57
2007-10,51
2007-11,40
2007-12,75
2008-01,75
2008-02,38
2008-03,18
2008-04,18
2008-05,26
2008-06,18
2008-07,18
2008-08,0
2008-09,24
2008-10,66
2008-11,54
2008-12,15
2009-01,21
2009-02,0
2009-03,39
2009-04,41
2009-05,33
2009-06,32
2009-07,19
2009-08,13
2009-09,48
2009-10,56
2009-11,45
2009-12,17
2010-01,21
2010-02,44
2010-03,39
2010-04,62
2010-05,46
2010-06,31
2010-07,20
2010-08,33
2010-09,32
2010-10,30
2010-11,38
2010-12,21
2011-01,16
2011-02,25
2011-03,59
2011-04,32
2011-05,37
2011-06,46
2011-07,19
2011-08,32
2011-09,17
2011-10,39
2011-11,23
2011-12,20
2012-01,18
2012-02,22
2012-03,44
2012-04,30
2012-05,31
2012-06,24
2012-07,17
2012-08,14
2012-09,17
2012-10,37
2012-11,24
2012-12,42
2013-01,24
2013-02,26
2013-03,31
2013-04,40
2013-05,30
2013-06,17
2013-07,26
2013-08,12
2013-09,18
2013-10,35
2013-11,26
2013-12,26
2014-01,22
2014-02,29
2014-03,36
2014-04,38
2014-05,31
2014-06,26
2014-07,21
2014-08,27
2014-09,28
2014-10,37
2014-11,47
2014-12,34
2015-01,39
2015-02,32
2015-03,48
2015-04,22
2015-05,40
2015-06,30
2015-07,13
2015-08,30
2015-09,22
2015-10,25
2015-11,40
2015-12,29
2016-01,26
2016-02,37
2016-03,40
2016-04,53
2016-05,80
2016-06,49
2016-07,34
2016-08,26
2016-09,47
2016-10,51
2016-11,58
2016-12,42
2017-01,46
2017-02,53
2017-03,63
2017-04,88
2017-05,62
2017-06,50
2017-07,33
2017-08,37
2017-09,45
2017-10,38
2017-11,65
2017-12,50
2018-01,49
2018-02,43
2018-03,65
2018-04,50
2018-05,100
2018-06,43
2018-07,34
2018-08,37
2018-09,54
2018-10,79
