Category: All categories

Month,coral reef damage: (Worldwide)
2004-01,82
2004-02,81
2004-03,0
2004-04,0
2004-05,45
2004-06,0
2004-07,0
2004-08,87
2004-09,80
2004-10,41
2004-11,0
2004-12,38
2005-01,100
2005-02,35
2005-03,44
2005-04,33
2005-05,58
2005-06,58
2005-07,89
2005-08,57
2005-09,39
2005-10,50
2005-11,61
2005-12,24
2006-01,32
2006-02,54
2006-03,37
2006-04,60
2006-05,27
2006-06,29
2006-07,19
2006-08,18
2006-09,17
2006-10,23
2006-11,15
2006-12,47
2007-01,14
2007-02,28
2007-03,43
2007-04,33
2007-05,11
2007-06,47
2007-07,11
2007-08,11
2007-09,0
2007-10,28
2007-11,23
2007-12,49
2008-01,52
2008-02,22
2008-03,33
2008-04,33
2008-05,8
2008-06,17
2008-07,8
2008-08,16
2008-09,11
2008-10,17
2008-11,18
2008-12,29
2009-01,10
2009-02,10
2009-03,18
2009-04,6
2009-05,15
2009-06,6
2009-07,12
2009-08,6
2009-09,8
2009-10,16
2009-11,21
2009-12,18
2010-01,14
2010-02,15
2010-03,25
2010-04,17
2010-05,26
2010-06,10
2010-07,9
2010-08,7
2010-09,13
2010-10,10
2010-11,18
2010-12,4
2011-01,9
2011-02,23
2011-03,10
2011-04,15
2011-05,22
2011-06,4
2011-07,9
2011-08,8
2011-09,13
2011-10,12
2011-11,14
2011-12,8
2012-01,6
2012-02,6
2012-03,11
2012-04,13
2012-05,11
2012-06,5
2012-07,11
2012-08,5
2012-09,7
2012-10,5
2012-11,12
2012-12,10
2013-01,7
2013-02,16
2013-03,14
2013-04,14
2013-05,19
2013-06,2
2013-07,8
2013-08,9
2013-09,3
2013-10,15
2013-11,12
2013-12,4
2014-01,4
2014-02,12
2014-03,11
2014-04,12
2014-05,10
2014-06,5
2014-07,6
2014-08,3
2014-09,6
2014-10,12
2014-11,17
2014-12,5
2015-01,5
2015-02,12
2015-03,12
2015-04,15
2015-05,19
2015-06,7
2015-07,2
2015-08,4
2015-09,4
2015-10,17
2015-11,11
2015-12,9
2016-01,12
2016-02,14
2016-03,14
2016-04,17
2016-05,18
2016-06,8
2016-07,4
2016-08,6
2016-09,10
2016-10,11
2016-11,10
2016-12,8
2017-01,11
2017-02,10
2017-03,16
2017-04,14
2017-05,11
2017-06,8
2017-07,3
2017-08,6
2017-09,17
2017-10,6
2017-11,14
2017-12,12
2018-01,10
2018-02,10
2018-03,12
2018-04,14
2018-05,23
2018-06,12
2018-07,8
2018-08,9
2018-09,12
2018-10,17
