Category: All categories

Month,coral reef dying: (Worldwide)
2004-01,0
2004-02,40
2004-03,0
2004-04,0
2004-05,100
2004-06,0
2004-07,0
2004-08,0
2004-09,30
2004-10,0
2004-11,31
2004-12,0
2005-01,0
2005-02,26
2005-03,0
2005-04,25
2005-05,0
2005-06,0
2005-07,22
2005-08,0
2005-09,19
2005-10,18
2005-11,18
2005-12,18
2006-01,0
2006-02,16
2006-03,14
2006-04,15
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,13
2006-10,12
2006-11,11
2006-12,0
2007-01,0
2007-02,0
2007-03,9
2007-04,15
2007-05,13
2007-06,9
2007-07,9
2007-08,0
2007-09,8
2007-10,0
2007-11,7
2007-12,7
2008-01,0
2008-02,7
2008-03,6
2008-04,9
2008-05,12
2008-06,0
2008-07,15
2008-08,0
2008-09,6
2008-10,10
2008-11,16
2008-12,16
2009-01,10
2009-02,8
2009-03,9
2009-04,12
2009-05,7
2009-06,11
2009-07,4
2009-08,4
2009-09,6
2009-10,10
2009-11,4
2009-12,12
2010-01,9
2010-02,8
2010-03,7
2010-04,11
2010-05,9
2010-06,7
2010-07,7
2010-08,3
2010-09,5
2010-10,4
2010-11,4
2010-12,6
2011-01,5
2011-02,7
2011-03,5
2011-04,0
2011-05,4
2011-06,9
2011-07,3
2011-08,2
2011-09,2
2011-10,3
2011-11,7
2011-12,3
2012-01,6
2012-02,4
2012-03,10
2012-04,4
2012-05,3
2012-06,2
2012-07,5
2012-08,3
2012-09,6
2012-10,10
2012-11,9
2012-12,9
2013-01,5
2013-02,5
2013-03,4
2013-04,10
2013-05,7
2013-06,7
2013-07,3
2013-08,4
2013-09,10
2013-10,7
2013-11,7
2013-12,5
2014-01,6
2014-02,9
2014-03,7
2014-04,6
2014-05,5
2014-06,6
2014-07,3
2014-08,4
2014-09,5
2014-10,6
2014-11,7
2014-12,5
2015-01,5
2015-02,10
2015-03,6
2015-04,4
2015-05,5
2015-06,1
2015-07,5
2015-08,5
2015-09,6
2015-10,6
2015-11,17
2015-12,5
2016-01,5
2016-02,7
2016-03,3
2016-04,14
2016-05,10
2016-06,9
2016-07,8
2016-08,6
2016-09,6
2016-10,40
2016-11,29
2016-12,18
2017-01,16
2017-02,19
2017-03,21
2017-04,31
2017-05,18
2017-06,17
2017-07,18
2017-08,10
2017-09,11
2017-10,12
2017-11,21
2017-12,10
2018-01,19
2018-02,26
2018-03,19
2018-04,26
2018-05,19
2018-06,17
2018-07,9
2018-08,15
2018-09,14
2018-10,23
