Category: All categories

Month,coral reef ecosystem: (Worldwide)
2004-01,54
2004-02,81
2004-03,33
2004-04,39
2004-05,100
2004-06,45
2004-07,35
2004-08,44
2004-09,40
2004-10,72
2004-11,41
2004-12,38
2005-01,50
2005-02,52
2005-03,29
2005-04,25
2005-05,86
2005-06,36
2005-07,60
2005-08,57
2005-09,45
2005-10,85
2005-11,54
2005-12,24
2006-01,26
2006-02,54
2006-03,46
2006-04,40
2006-05,64
2006-06,48
2006-07,19
2006-08,18
2006-09,21
2006-10,54
2006-11,49
2006-12,15
2007-01,47
2007-02,28
2007-03,19
2007-04,49
2007-05,59
2007-06,32
2007-07,22
2007-08,24
2007-09,32
2007-10,45
2007-11,23
2007-12,15
2008-01,19
2008-02,13
2008-03,42
2008-04,33
2008-05,36
2008-06,10
2008-07,8
2008-08,24
2008-09,21
2008-10,36
2008-11,41
2008-12,23
2009-01,23
2009-02,46
2009-03,35
2009-04,45
2009-05,36
2009-06,37
2009-07,13
2009-08,15
2009-09,19
2009-10,40
2009-11,46
2009-12,35
2010-01,24
2010-02,36
2010-03,41
2010-04,49
2010-05,54
2010-06,28
2010-07,19
2010-08,16
2010-09,20
2010-10,25
2010-11,29
2010-12,26
2011-01,30
2011-02,24
2011-03,36
2011-04,27
2011-05,33
2011-06,24
2011-07,37
2011-08,15
2011-09,31
2011-10,25
2011-11,33
2011-12,18
2012-01,20
2012-02,37
2012-03,34
2012-04,25
2012-05,36
2012-06,19
2012-07,21
2012-08,25
2012-09,36
2012-10,39
2012-11,37
2012-12,19
2013-01,29
2013-02,33
2013-03,20
2013-04,36
2013-05,29
2013-06,21
2013-07,11
2013-08,15
2013-09,35
2013-10,41
2013-11,28
2013-12,23
2014-01,23
2014-02,34
2014-03,29
2014-04,28
2014-05,40
2014-06,20
2014-07,11
2014-08,18
2014-09,28
2014-10,40
2014-11,33
2014-12,24
2015-01,32
2015-02,36
2015-03,43
2015-04,37
2015-05,40
2015-06,12
2015-07,9
2015-08,23
2015-09,33
2015-10,42
2015-11,37
2015-12,26
2016-01,29
2016-02,47
2016-03,37
2016-04,41
2016-05,37
2016-06,16
2016-07,18
2016-08,13
2016-09,36
2016-10,33
2016-11,33
2016-12,22
2017-01,34
2017-02,35
2017-03,41
2017-04,40
2017-05,38
2017-06,11
2017-07,10
2017-08,15
2017-09,29
2017-10,35
2017-11,41
2017-12,30
2018-01,29
2018-02,43
2018-03,37
2018-04,39
2018-05,52
2018-06,19
2018-07,10
2018-08,14
2018-09,38
2018-10,33
