Category: All categories

Month,coral reef fish: (Worldwide)
2004-01,68
2004-02,87
2004-03,100
2004-04,86
2004-05,93
2004-06,72
2004-07,31
2004-08,55
2004-09,50
2004-10,59
2004-11,86
2004-12,43
2005-01,61
2005-02,69
2005-03,56
2005-04,67
2005-05,73
2005-06,52
2005-07,28
2005-08,31
2005-09,56
2005-10,72
2005-11,64
2005-12,24
2006-01,38
2006-02,26
2006-03,48
2006-04,51
2006-05,59
2006-06,33
2006-07,19
2006-08,20
2006-09,27
2006-10,41
2006-11,34
2006-12,27
2007-01,32
2007-02,37
2007-03,30
2007-04,36
2007-05,38
2007-06,26
2007-07,18
2007-08,32
2007-09,33
2007-10,37
2007-11,43
2007-12,30
2008-01,36
2008-02,35
2008-03,35
2008-04,51
2008-05,43
2008-06,29
2008-07,18
2008-08,18
2008-09,30
2008-10,32
2008-11,35
2008-12,23
2009-01,29
2009-02,31
2009-03,40
2009-04,33
2009-05,37
2009-06,31
2009-07,24
2009-08,18
2009-09,28
2009-10,32
2009-11,30
2009-12,25
2010-01,27
2010-02,35
2010-03,36
2010-04,33
2010-05,36
2010-06,20
2010-07,13
2010-08,15
2010-09,23
2010-10,25
2010-11,20
2010-12,19
2011-01,21
2011-02,22
2011-03,28
2011-04,25
2011-05,26
2011-06,20
2011-07,16
2011-08,16
2011-09,25
2011-10,26
2011-11,25
2011-12,20
2012-01,21
2012-02,33
2012-03,24
2012-04,27
2012-05,32
2012-06,18
2012-07,16
2012-08,18
2012-09,27
2012-10,22
2012-11,27
2012-12,19
2013-01,20
2013-02,23
2013-03,24
2013-04,28
2013-05,32
2013-06,19
2013-07,17
2013-08,18
2013-09,22
2013-10,25
2013-11,25
2013-12,19
2014-01,20
2014-02,24
2014-03,27
2014-04,24
2014-05,31
2014-06,20
2014-07,15
2014-08,15
2014-09,21
2014-10,24
2014-11,21
2014-12,19
2015-01,23
2015-02,26
2015-03,25
2015-04,27
2015-05,30
2015-06,20
2015-07,16
2015-08,16
2015-09,22
2015-10,25
2015-11,23
2015-12,21
2016-01,20
2016-02,27
2016-03,29
2016-04,31
2016-05,33
2016-06,22
2016-07,15
2016-08,15
2016-09,20
2016-10,24
2016-11,24
2016-12,19
2017-01,25
2017-02,26
2017-03,29
2017-04,32
2017-05,33
2017-06,20
2017-07,17
2017-08,17
2017-09,19
2017-10,25
2017-11,28
2017-12,19
2018-01,23
2018-02,24
2018-03,28
2018-04,29
2018-05,29
2018-06,17
2018-07,14
2018-08,17
2018-09,23
2018-10,23
