Category: All categories

Month,coral reef: (Worldwide)
2004-01,82
2004-02,96
2004-03,92
2004-04,91
2004-05,100
2004-06,63
2004-07,51
2004-08,56
2004-09,67
2004-10,74
2004-11,76
2004-12,61
2005-01,75
2005-02,73
2005-03,76
2005-04,74
2005-05,79
2005-06,55
2005-07,49
2005-08,51
2005-09,61
2005-10,64
2005-11,61
2005-12,50
2006-01,61
2006-02,62
2006-03,64
2006-04,58
2006-05,68
2006-06,45
2006-07,41
2006-08,42
2006-09,47
2006-10,52
2006-11,54
2006-12,42
2007-01,49
2007-02,52
2007-03,53
2007-04,51
2007-05,56
2007-06,37
2007-07,36
2007-08,41
2007-09,45
2007-10,51
2007-11,43
2007-12,36
2008-01,44
2008-02,49
2008-03,48
2008-04,49
2008-05,49
2008-06,37
2008-07,35
2008-08,38
2008-09,39
2008-10,45
2008-11,41
2008-12,35
2009-01,40
2009-02,47
2009-03,49
2009-04,48
2009-05,48
2009-06,38
2009-07,34
2009-08,38
2009-09,39
2009-10,41
2009-11,41
2009-12,33
2010-01,39
2010-02,43
2010-03,45
2010-04,48
2010-05,44
2010-06,35
2010-07,33
2010-08,38
2010-09,36
2010-10,36
2010-11,34
2010-12,27
2011-01,34
2011-02,36
2011-03,37
2011-04,37
2011-05,39
2011-06,32
2011-07,30
2011-08,31
2011-09,33
2011-10,35
2011-11,33
2011-12,30
2012-01,35
2012-02,36
2012-03,36
2012-04,38
2012-05,37
2012-06,30
2012-07,29
2012-08,32
2012-09,35
2012-10,33
2012-11,29
2012-12,26
2013-01,32
2013-02,36
2013-03,36
2013-04,38
2013-05,39
2013-06,29
2013-07,28
2013-08,30
2013-09,32
2013-10,33
2013-11,30
2013-12,25
2014-01,31
2014-02,34
2014-03,36
2014-04,35
2014-05,35
2014-06,28
2014-07,27
2014-08,30
2014-09,30
2014-10,31
2014-11,28
2014-12,26
2015-01,30
2015-02,32
2015-03,34
2015-04,36
2015-05,36
2015-06,30
2015-07,27
2015-08,29
2015-09,30
2015-10,30
2015-11,29
2015-12,27
2016-01,32
2016-02,33
2016-03,35
2016-04,38
2016-05,38
2016-06,29
2016-07,25
2016-08,24
2016-09,29
2016-10,35
2016-11,32
2016-12,27
2017-01,32
2017-02,36
2017-03,39
2017-04,39
2017-05,38
2017-06,29
2017-07,30
2017-08,28
2017-09,33
2017-10,37
2017-11,34
2017-12,28
2018-01,35
2018-02,36
2018-03,37
2018-04,41
2018-05,42
2018-06,30
2018-07,28
2018-08,33
2018-09,31
2018-10,33
