Category: All categories

Month,coral reefs dying: (Worldwide)
2004-01,81
2004-02,80
2004-03,100
2004-04,0
2004-05,66
2004-06,66
2004-07,70
2004-08,65
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,49
2005-02,0
2005-03,44
2005-04,49
2005-05,43
2005-06,43
2005-07,0
2005-08,0
2005-09,38
2005-10,0
2005-11,36
2005-12,0
2006-01,31
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,28
2006-07,0
2006-08,26
2006-09,25
2006-10,23
2006-11,45
2006-12,0
2007-01,40
2007-02,21
2007-03,0
2007-04,0
2007-05,50
2007-06,17
2007-07,0
2007-08,32
2007-09,16
2007-10,28
2007-11,27
2007-12,15
2008-01,13
2008-02,20
2008-03,12
2008-04,43
2008-05,48
2008-06,0
2008-07,12
2008-08,0
2008-09,22
2008-10,10
2008-11,16
2008-12,21
2009-01,33
2009-02,10
2009-03,27
2009-04,14
2009-05,18
2009-06,9
2009-07,9
2009-08,17
2009-09,29
2009-10,55
2009-11,27
2009-12,39
2010-01,11
2010-02,19
2010-03,24
2010-04,18
2010-05,28
2010-06,7
2010-07,7
2010-08,19
2010-09,22
2010-10,9
2010-11,12
2010-12,23
2011-01,8
2011-02,22
2011-03,25
2011-04,24
2011-05,30
2011-06,16
2011-07,5
2011-08,15
2011-09,9
2011-10,9
2011-11,20
2011-12,13
2012-01,14
2012-02,17
2012-03,10
2012-04,16
2012-05,16
2012-06,8
2012-07,12
2012-08,6
2012-09,18
2012-10,20
2012-11,18
2012-12,14
2013-01,21
2013-02,20
2013-03,8
2013-04,18
2013-05,9
2013-06,5
2013-07,8
2013-08,3
2013-09,12
2013-10,12
2013-11,17
2013-12,4
2014-01,6
2014-02,14
2014-03,25
2014-04,17
2014-05,23
2014-06,11
2014-07,6
2014-08,6
2014-09,12
2014-10,11
2014-11,10
2014-12,14
2015-01,11
2015-02,17
2015-03,13
2015-04,8
2015-05,18
2015-06,9
2015-07,4
2015-08,5
2015-09,13
2015-10,19
2015-11,21
2015-12,13
2016-01,18
2016-02,15
2016-03,19
2016-04,24
2016-05,25
2016-06,17
2016-07,4
2016-08,8
2016-09,16
2016-10,53
2016-11,41
2016-12,23
2017-01,35
2017-02,44
2017-03,69
2017-04,54
2017-05,48
2017-06,32
2017-07,43
2017-08,29
2017-09,41
2017-10,35
2017-11,56
2017-12,45
2018-01,32
2018-02,47
2018-03,46
2018-04,69
2018-05,54
2018-06,23
2018-07,14
2018-08,25
2018-09,46
2018-10,50
