Category: All categories

Month,coral: (Worldwide)
2004-01,91
2004-02,100
2004-03,100
2004-04,94
2004-05,96
2004-06,88
2004-07,86
2004-08,92
2004-09,83
2004-10,83
2004-11,81
2004-12,76
2005-01,88
2005-02,90
2005-03,95
2005-04,93
2005-05,96
2005-06,89
2005-07,88
2005-08,85
2005-09,80
2005-10,82
2005-11,79
2005-12,72
2006-01,83
2006-02,84
2006-03,87
2006-04,88
2006-05,87
2006-06,82
2006-07,80
2006-08,80
2006-09,76
2006-10,77
2006-11,77
2006-12,74
2007-01,81
2007-02,82
2007-03,84
2007-04,86
2007-05,86
2007-06,80
2007-07,77
2007-08,82
2007-09,79
2007-10,78
2007-11,75
2007-12,73
2008-01,81
2008-02,83
2008-03,87
2008-04,90
2008-05,85
2008-06,80
2008-07,80
2008-08,78
2008-09,74
2008-10,73
2008-11,70
2008-12,68
2009-01,77
2009-02,79
2009-03,84
2009-04,83
2009-05,82
2009-06,76
2009-07,77
2009-08,78
2009-09,76
2009-10,73
2009-11,71
2009-12,66
2010-01,76
2010-02,78
2010-03,82
2010-04,82
2010-05,80
2010-06,76
2010-07,79
2010-08,76
2010-09,72
2010-10,73
2010-11,76
2010-12,74
2011-01,80
2011-02,77
2011-03,81
2011-04,87
2011-05,82
2011-06,82
2011-07,81
2011-08,82
2011-09,76
2011-10,75
2011-11,73
2011-12,73
2012-01,78
2012-02,80
2012-03,83
2012-04,86
2012-05,83
2012-06,81
2012-07,83
2012-08,81
2012-09,79
2012-10,75
2012-11,71
2012-12,71
2013-01,78
2013-02,81
2013-03,90
2013-04,90
2013-05,90
2013-06,85
2013-07,86
2013-08,84
2013-09,77
2013-10,74
2013-11,75
2013-12,74
2014-01,82
2014-02,84
2014-03,90
2014-04,93
2014-05,88
2014-06,89
2014-07,88
2014-08,85
2014-09,80
2014-10,78
2014-11,76
2014-12,75
2015-01,82
2015-02,87
2015-03,91
2015-04,99
2015-05,90
2015-06,89
2015-07,87
2015-08,89
2015-09,80
2015-10,82
2015-11,82
2015-12,81
2016-01,91
2016-02,92
2016-03,98
2016-04,98
2016-05,94
2016-06,93
2016-07,90
2016-08,86
2016-09,84
2016-10,83
2016-11,81
2016-12,83
2017-01,87
2017-02,88
2017-03,91
2017-04,95
2017-05,90
2017-06,88
2017-07,87
2017-08,88
2017-09,92
2017-10,82
2017-11,78
2017-12,77
2018-01,81
2018-02,89
2018-03,89
2018-04,91
2018-05,90
2018-06,86
2018-07,84
2018-08,85
2018-09,78
2018-10,75
