Category: All categories

Month,damaged coral: (Worldwide)
2004-01,0
2004-02,51
2004-03,96
2004-04,49
2004-05,43
2004-06,85
2004-07,0
2004-08,0
2004-09,38
2004-10,0
2004-11,0
2004-12,73
2005-01,64
2005-02,100
2005-03,28
2005-04,32
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,25
2005-10,23
2005-11,23
2005-12,23
2006-01,20
2006-02,21
2006-03,52
2006-04,0
2006-05,26
2006-06,73
2006-07,0
2006-08,0
2006-09,16
2006-10,30
2006-11,36
2006-12,15
2007-01,13
2007-02,27
2007-03,24
2007-04,0
2007-05,21
2007-06,0
2007-07,0
2007-08,10
2007-09,20
2007-10,9
2007-11,18
2007-12,9
2008-01,17
2008-02,8
2008-03,20
2008-04,27
2008-05,15
2008-06,20
2008-07,15
2008-08,8
2008-09,0
2008-10,10
2008-11,17
2008-12,14
2009-01,12
2009-02,13
2009-03,26
2009-04,0
2009-05,12
2009-06,14
2009-07,14
2009-08,0
2009-09,13
2009-10,10
2009-11,28
2009-12,7
2010-01,12
2010-02,12
2010-03,13
2010-04,34
2010-05,9
2010-06,16
2010-07,9
2010-08,4
2010-09,4
2010-10,13
2010-11,9
2010-12,4
2011-01,9
2011-02,11
2011-03,18
2011-04,16
2011-05,8
2011-06,10
2011-07,8
2011-08,9
2011-09,6
2011-10,14
2011-11,12
2011-12,12
2012-01,13
2012-02,12
2012-03,5
2012-04,8
2012-05,8
2012-06,6
2012-07,5
2012-08,4
2012-09,10
2012-10,7
2012-11,9
2012-12,8
2013-01,7
2013-02,8
2013-03,8
2013-04,8
2013-05,14
2013-06,6
2013-07,4
2013-08,4
2013-09,5
2013-10,10
2013-11,13
2013-12,7
2014-01,8
2014-02,17
2014-03,8
2014-04,16
2014-05,13
2014-06,8
2014-07,2
2014-08,9
2014-09,6
2014-10,13
2014-11,8
2014-12,6
2015-01,4
2015-02,9
2015-03,15
2015-04,11
2015-05,8
2015-06,7
2015-07,4
2015-08,8
2015-09,11
2015-10,11
2015-11,9
2015-12,7
2016-01,11
2016-02,9
2016-03,12
2016-04,9
2016-05,7
2016-06,7
2016-07,8
2016-08,5
2016-09,10
2016-10,19
2016-11,12
2016-12,4
2017-01,10
2017-02,9
2017-03,12
2017-04,9
2017-05,16
2017-06,7
2017-07,6
2017-08,8
2017-09,21
2017-10,8
2017-11,10
2017-12,5
2018-01,14
2018-02,5
2018-03,13
2018-04,8
2018-05,12
2018-06,6
2018-07,8
2018-08,8
2018-09,9
2018-10,11
