Category: All categories

Month,death of the great barrier reef: (Worldwide)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,100
2005-03,0
2005-04,94
2005-05,0
2005-06,83
2005-07,0
2005-08,0
2005-09,74
2005-10,0
2005-11,69
2005-12,0
2006-01,60
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,49
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,35
2007-04,0
2007-05,32
2007-06,0
2007-07,0
2007-08,0
2007-09,30
2007-10,40
2007-11,0
2007-12,0
2008-01,0
2008-02,25
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,20
2008-12,0
2009-01,0
2009-02,0
2009-03,17
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,16
2009-10,0
2009-11,22
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,13
2010-06,0
2010-07,0
2010-08,12
2010-09,0
2010-10,11
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,10
2011-04,10
2011-05,0
2011-06,0
2011-07,0
2011-08,19
2011-09,0
2011-10,0
2011-11,17
2011-12,9
2012-01,8
2012-02,0
2012-03,19
2012-04,0
2012-05,11
2012-06,0
2012-07,8
2012-08,15
2012-09,8
2012-10,0
2012-11,7
2012-12,0
2013-01,0
2013-02,0
2013-03,6
2013-04,0
2013-05,12
2013-06,6
2013-07,0
2013-08,6
2013-09,6
2013-10,6
2013-11,12
2013-12,6
2014-01,5
2014-02,0
2014-03,10
2014-04,5
2014-05,0
2014-06,6
2014-07,6
2014-08,12
2014-09,6
2014-10,5
2014-11,6
2014-12,5
2015-01,0
2015-02,0
2015-03,5
2015-04,5
2015-05,5
2015-06,5
2015-07,0
2015-08,5
2015-09,5
2015-10,0
2015-11,5
2015-12,10
2016-01,0
2016-02,5
2016-03,14
2016-04,5
2016-05,15
2016-06,15
2016-07,5
2016-08,5
2016-09,5
2016-10,82
2016-11,47
2016-12,22
2017-01,7
2017-02,5
2017-03,11
2017-04,19
2017-05,5
2017-06,10
2017-07,29
2017-08,9
2017-09,9
2017-10,4
2017-11,9
2017-12,11
2018-01,9
2018-02,12
2018-03,17
2018-04,9
2018-05,9
2018-06,4
2018-07,0
2018-08,9
2018-09,17
2018-10,16
