Category: All categories

Month,dying coral: (Worldwide)
2004-01,41
2004-02,61
2004-03,76
2004-04,0
2004-05,50
2004-06,34
2004-07,35
2004-08,33
2004-09,30
2004-10,31
2004-11,31
2004-12,0
2005-01,25
2005-02,53
2005-03,45
2005-04,100
2005-05,44
2005-06,44
2005-07,45
2005-08,22
2005-09,39
2005-10,0
2005-11,37
2005-12,18
2006-01,24
2006-02,16
2006-03,34
2006-04,15
2006-05,21
2006-06,36
2006-07,43
2006-08,20
2006-09,26
2006-10,29
2006-11,23
2006-12,12
2007-01,15
2007-02,16
2007-03,19
2007-04,39
2007-05,25
2007-06,22
2007-07,9
2007-08,25
2007-09,24
2007-10,25
2007-11,28
2007-12,22
2008-01,29
2008-02,23
2008-03,31
2008-04,28
2008-05,28
2008-06,13
2008-07,49
2008-08,6
2008-09,11
2008-10,31
2008-11,32
2008-12,21
2009-01,49
2009-02,33
2009-03,27
2009-04,40
2009-05,43
2009-06,42
2009-07,38
2009-08,36
2009-09,38
2009-10,37
2009-11,24
2009-12,24
2010-01,24
2010-02,37
2010-03,50
2010-04,47
2010-05,36
2010-06,13
2010-07,29
2010-08,40
2010-09,28
2010-10,35
2010-11,35
2010-12,24
2011-01,26
2011-02,39
2011-03,27
2011-04,33
2011-05,39
2011-06,25
2011-07,17
2011-08,22
2011-09,18
2011-10,27
2011-11,34
2011-12,24
2012-01,23
2012-02,30
2012-03,34
2012-04,41
2012-05,32
2012-06,30
2012-07,18
2012-08,26
2012-09,35
2012-10,46
2012-11,30
2012-12,28
2013-01,38
2013-02,28
2013-03,27
2013-04,49
2013-05,31
2013-06,27
2013-07,30
2013-08,18
2013-09,36
2013-10,33
2013-11,23
2013-12,28
2014-01,28
2014-02,38
2014-03,41
2014-04,36
2014-05,34
2014-06,31
2014-07,33
2014-08,33
2014-09,27
2014-10,26
2014-11,22
2014-12,29
2015-01,29
2015-02,35
2015-03,30
2015-04,34
2015-05,31
2015-06,24
2015-07,26
2015-08,28
2015-09,27
2015-10,31
2015-11,40
2015-12,30
2016-01,29
2016-02,33
2016-03,36
2016-04,39
2016-05,38
2016-06,37
2016-07,22
2016-08,24
2016-09,38
2016-10,65
2016-11,65
2016-12,51
2017-01,58
2017-02,58
2017-03,65
2017-04,76
2017-05,62
2017-06,41
2017-07,63
2017-08,37
2017-09,45
2017-10,48
2017-11,56
2017-12,49
2018-01,52
2018-02,60
2018-03,58
2018-04,76
2018-05,67
2018-06,36
2018-07,34
2018-08,40
2018-09,53
2018-10,55
