Category: All categories

Month,florida keys reefs: (Worldwide)
2004-01,44
2004-02,44
2004-03,55
2004-04,0
2004-05,0
2004-06,37
2004-07,0
2004-08,0
2004-09,49
2004-10,100
2004-11,33
2004-12,46
2005-01,54
2005-02,0
2005-03,96
2005-04,41
2005-05,47
2005-06,47
2005-07,48
2005-08,0
2005-09,21
2005-10,50
2005-11,30
2005-12,19
2006-01,17
2006-02,0
2006-03,30
2006-04,49
2006-05,30
2006-06,16
2006-07,31
2006-08,14
2006-09,21
2006-10,0
2006-11,12
2006-12,0
2007-01,11
2007-02,17
2007-03,0
2007-04,16
2007-05,23
2007-06,10
2007-07,19
2007-08,9
2007-09,9
2007-10,15
2007-11,26
2007-12,8
2008-01,11
2008-02,21
2008-03,14
2008-04,7
2008-05,17
2008-06,17
2008-07,10
2008-08,17
2008-09,18
2008-10,6
2008-11,14
2008-12,9
2009-01,13
2009-02,8
2009-03,15
2009-04,20
2009-05,15
2009-06,24
2009-07,10
2009-08,10
2009-09,7
2009-10,17
2009-11,23
2009-12,8
2010-01,8
2010-02,12
2010-03,26
2010-04,10
2010-05,13
2010-06,14
2010-07,7
2010-08,11
2010-09,3
2010-10,3
2010-11,6
2010-12,8
2011-01,6
2011-02,9
2011-03,10
2011-04,6
2011-05,11
2011-06,7
2011-07,8
2011-08,8
2011-09,3
2011-10,7
2011-11,9
2011-12,9
2012-01,9
2012-02,7
2012-03,8
2012-04,15
2012-05,5
2012-06,10
2012-07,9
2012-08,8
2012-09,10
2012-10,7
2012-11,6
2012-12,6
2013-01,10
2013-02,3
2013-03,5
2013-04,9
2013-05,15
2013-06,4
2013-07,8
2013-08,7
2013-09,6
2013-10,6
2013-11,7
2013-12,10
2014-01,5
2014-02,8
2014-03,7
2014-04,9
2014-05,5
2014-06,6
2014-07,8
2014-08,7
2014-09,5
2014-10,5
2014-11,8
2014-12,6
2015-01,6
2015-02,4
2015-03,12
2015-04,11
2015-05,6
2015-06,5
2015-07,5
2015-08,4
2015-09,3
2015-10,3
2015-11,4
2015-12,5
2016-01,11
2016-02,8
2016-03,5
2016-04,6
2016-05,13
2016-06,7
2016-07,7
2016-08,4
2016-09,9
2016-10,5
2016-11,4
2016-12,5
2017-01,5
2017-02,9
2017-03,5
2017-04,9
2017-05,9
2017-06,6
2017-07,8
2017-08,7
2017-09,3
2017-10,4
2017-11,7
2017-12,7
2018-01,2
2018-02,7
2018-03,7
2018-04,9
2018-05,10
2018-06,9
2018-07,6
2018-08,5
2018-09,5
2018-10,9
