Category: All categories

Month,florida keys scuba: (Worldwide)
2004-01,57
2004-02,73
2004-03,100
2004-04,39
2004-05,47
2004-06,54
2004-07,35
2004-08,39
2004-09,24
2004-10,31
2004-11,25
2004-12,57
2005-01,55
2005-02,32
2005-03,44
2005-04,45
2005-05,22
2005-06,57
2005-07,27
2005-08,26
2005-09,31
2005-10,18
2005-11,36
2005-12,28
2006-01,41
2006-02,29
2006-03,19
2006-04,33
2006-05,30
2006-06,17
2006-07,29
2006-08,35
2006-09,23
2006-10,9
2006-11,25
2006-12,30
2007-01,20
2007-02,38
2007-03,33
2007-04,25
2007-05,18
2007-06,19
2007-07,19
2007-08,20
2007-09,11
2007-10,17
2007-11,16
2007-12,12
2008-01,10
2008-02,20
2008-03,19
2008-04,20
2008-05,21
2008-06,22
2008-07,24
2008-08,15
2008-09,16
2008-10,15
2008-11,11
2008-12,13
2009-01,17
2009-02,20
2009-03,14
2009-04,20
2009-05,14
2009-06,13
2009-07,16
2009-08,15
2009-09,10
2009-10,15
2009-11,9
2009-12,11
2010-01,17
2010-02,16
2010-03,18
2010-04,14
2010-05,13
2010-06,14
2010-07,13
2010-08,14
2010-09,8
2010-10,5
2010-11,9
2010-12,8
2011-01,12
2011-02,13
2011-03,9
2011-04,8
2011-05,7
2011-06,13
2011-07,11
2011-08,13
2011-09,7
2011-10,9
2011-11,5
2011-12,6
2012-01,9
2012-02,10
2012-03,9
2012-04,10
2012-05,12
2012-06,11
2012-07,11
2012-08,12
2012-09,7
2012-10,8
2012-11,5
2012-12,6
2013-01,11
2013-02,9
2013-03,10
2013-04,8
2013-05,10
2013-06,10
2013-07,8
2013-08,10
2013-09,9
2013-10,6
2013-11,8
2013-12,5
2014-01,10
2014-02,7
2014-03,9
2014-04,8
2014-05,6
2014-06,7
2014-07,6
2014-08,6
2014-09,7
2014-10,6
2014-11,9
2014-12,6
2015-01,8
2015-02,7
2015-03,10
2015-04,11
2015-05,9
2015-06,7
2015-07,7
2015-08,9
2015-09,5
2015-10,4
2015-11,5
2015-12,7
2016-01,7
2016-02,6
2016-03,10
2016-04,6
2016-05,7
2016-06,6
2016-07,7
2016-08,4
2016-09,7
2016-10,5
2016-11,3
2016-12,7
2017-01,8
2017-02,10
2017-03,8
2017-04,9
2017-05,9
2017-06,7
2017-07,6
2017-08,7
2017-09,4
2017-10,4
2017-11,3
2017-12,6
2018-01,7
2018-02,8
2018-03,5
2018-04,8
2018-05,7
2018-06,4
2018-07,9
2018-08,7
2018-09,5
2018-10,7
